sleuth_study_name,pmid
"Contreras et al., 2013",23574585
"Cross et al., 2019",30852995
"Cuevas et al., 2019",30930310
"Decety et al., 2004",15488424
"Derntl et al., 2009",19136216
"Deuse et al., 2016",27496338
"Dungan et al., 2016",26969865
"Egorova et al., 2016",26505303
"Falk et al., 2013",23722983
"Greven et al., 2016",26920683
"Güroğlu et al., 2008",17964185
"Habel et al., 2007",17408704
"Hamilton et al., 2017",28905269
"Han et al., 2016",26481048
"Hanawa et al., 2016",26168793
"Hare et al., 2010",20071521
"Harrison et al., 2009",19048432
"Hartung et al., 2019",31142792
"Hellbernd et al., 2018",29771359
"Herold et al., 2016",26365506
"Ihme et al., 2014",25281889
"Isik et al., 2017",29073111
"Jankowski et al., 2014",24582805
"Jiang et al., 2018",29777673
"Kanazawa et al., 2017",28931014
"Kanske et al., 2015",26254589
"Kawamichi et al., 2016",27090501
"Kawasaki et al., 2016",26235682
"Kirk et al., 2016",27266443
"Kohn et al., 2011",21320516
"Koppe et al., 2015",26143208
"Korn et al., 2014",24772075
"Kumar et al., 2009",18537114
"Labek et al., 2016",27458363
"Lavoie et al., 2016",27236373
"Lazar et al., 2014",24462962
"Lewis et al., 2017",28338962
"Liu et al., 2018",29432769
"Lockwood et al., 2016",27528669
"Love et al., 2011",21864459
"Mackes et al., 2018",29890323
"Mainieri et al., 2013",23684882
"Mano et al., 2011",21600991
"Mattan et al., 2018",29077925
"Mazzola et al., 2016",27375449
"Mclatchie et al., 2016",26746179
"Miedl et al., 2016",26892859
"Moll et al., 2012",22956840
"Morawetz et al., 2016",27510495
"Morese et al., 2019",31056647
"Murch et al., 2014",23988759
"Neukel et al., 2019",30056560
"Otti et al., 2015",26301900
"Pehrs et al., 2017",26604273
"Pierno et al., 2008",18633846
"Powers et al., 2016",26206505
"Ramsey et al., 2013",23249349
"Rauchbauer et al., 2015",25929599
"Redcay et al., 2010a",20096792
"Redcay et al., 2010b",20096792
"Rice et al., 2016",26608245
"Ruckmann et al., 2015",26323252
"Rudorf et al., 2018",29760183
"Safron et al., 2018",29330483
"Sander et al., 2005",16055351
"Sato et al., 2019",31090126
"Schaefer et al., 2014",24097375
"Scheuerecker et al., 2007",17986835
"Schmitgen et al., 2016",26803059
"Scholz et al., 2017",28242678
"Schulte-Rüther et al., 2008",18514546
"Seehausen et al., 2016",26812250
"Seitz et al., 2008",18313858
"Semrud-Clikeman et al., 2011",21606658
"Silani et al., 2013",24068815
"Singer et al., 2004",14980212
"Smith et al., 2017",27007121
"Sokolov et al., 2012",22019860
"Sperduti et al., 2014",24414614
"Spunt et al., 2013",23221019
"Spunt et al., 2015",25911123
"Stanley et al., 2016",26656563
"Sugiura et al., 2008",18501639
"Sumiya et al., 2017",28477977
"Sun et al., 2016",27494142
"Suslow et al., 2009",19347874
"Suslow et al., 2017",27856343
"Takahashi et al., 2004",15528097
"Tamir et al., 2010",20534459
"Telzer et al., 2011",21703352
"Thornton et al., 2013",23298748
"Tomova et al., 2017",27798249
"Trapp et al., 2014",24825504
"Tso et al., 2018",29723244
"Tsoi et al., 2016",27165762
"Tylén et al., 2016",27039141
"Uddin et al., 2005",15808992
"Ueda et al., 2017",29039129
"Vanlangendonck et al., 2018",29221830
"Wade-Bohleber et al., 2019",30077577
"Wagner et al., 2015",25298009
"Walbrin et al., 2018",29476765
"Walbrin et al., 2018a",29476765
"Walbrin et al., 2018b",29476765
"Walter et al., 2004a",15701234
"Walter et al., 2004b",15701234
"Wang et al., 2011",21849560
"Wildgruber et al., 2013",23667619
"Wlodarski et al., 2016",27576746
"Wolf et al., 2010",19733672
"Wolf et al., 2018",30154703
"Xie et al., 2016",27095057
"Zahn et al., 2007",17404215
"Zelinková et al., 2014",25118071
"Zerubavel et al., 2015",26598684
"Zhang et al., 2018",29740753
"Zhou et al., 2014",24834034
"Ziaei et al., 2016",27716474
"van den Bos et al., 2009",19304843
"Špiláková et al., 2019",30649548
"Anderson et al., 2013",23876243
"Blackwood et al., 2003",14568477
"Cikara et al., 2011",20350187
"Ebisch et al., 2014",24666131
"Emmerling et al., 2016",27096431
"Emonds et al., 2014",24294906
"Ermer et al., 2006",18633788
"Farrow et al., 2001",11496124
"Farrow et al., 2011",21664277
"Fehr et al., 2014",24814646
"George et al., 2001",11352615
"Haist et al., 2010",21206532
"Harris et al., 2007",18985118
"Harris et al., 2010",20119878
"Heyda et al., 2010",20056152
"Hoffman et al., 2000",10607399
"Hortensius et al., 2014",24583253
"Javor et al., 2019",31598216
"Kelly et al., 2014",24639542
"Klasen et al., 2011",21940454
"Krueger et al., 2014",23887810
"Krämer et al., 2010",19944083
"Materna et al., 2008",18585742
"Mende-Siedlecki et al., 2016",27217118
"Montgomery et al., 2008",18370602
"Petrini et al., 2014",24824165
"Podrebarac et al., 2013",23435496
"Polosan et al., 2011",21955370
"Quadflieg et al., 2015",25697049
"Reniers et al., 2014",24294841
"Rilling et al., 2008",18486491
"Saarela et al., 2008",18633834
"Saggar et al., 2014",24084068
"Sassa et al., 2007",17627852
"Schilbach et al., 2006",16171833
"Schneider et al., 2014",25042446
"Shultz et al., 2012",22360624
"Suzuki et al., 2012",22726841
"Todorov et al., 2007",16759672
"Van den Stock et al., 2015",26337369
"Volz et al., 2015",25729358
"Von Der Heide et al., 2013",23378834
"Völlm et al., 2006",16122944
"Winston et al., 2002",11850635
