id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24	PositiveTail 25	PositiveTail 26	PositiveTail 27
Cooper et al., 2013-Mismatched (Rejection + Unrequited) > matched (Match + Disinterest); socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Partners who were given a no > those given a yes; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Partners who were given a yes > those given a no; socialcommunication	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Rejection > Disinterest; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cooper et al., 2013-Unsigned prediction errors from RL model; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Yes (Match + Unrequited) > No (Rejection + Disinterest); socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuevas et al., 2019-gestures + speech > speech; socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuevas et al., 2019-interaction (gestures x complexity); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cuevas et al., 2019-low complexity > high complexity; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuevas et al., 2019-speech > gestures + speech; socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Davies-Thompson et al., 2018-(Bimodal > Unimodal faces) ∩ (Bimodal > Unimodal Voices); socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Davies-Thompson et al., 2018-Incongruent > Congruent; socialcommunication	2	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derntl et al., 2009-emotion-by-gender of poser interaction (fearful male expressions > fearful female expressions; female expressions of disgust > male expressions of disgust); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derntl et al., 2009-interaction of testosterone and angry male expressions > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derntl et al., 2009-interaction of testosterone and fearful male expressions > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichter et al., 2008-(Face Targets > Novels) > (Shape Targets > Novels); socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichter et al., 2008-Face Targets > Novels; socialcommunication	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichter et al., 2008-Shape Targets > Novels; socialcommunication	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebisch et al., 2014-[(hand/human hand > hand/fake hand) − (object/human hand > object/fake hand)]; socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)] − Target effect [human hand > fake hand] − Modality effect: [hand > object]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)] − Target effect [human hand > fake hand] − Modality effect: [object > hand]; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)]; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebisch et al., 2014-[human hand > fake hand] − Modality effect: [object > hand]; socialcommunication	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egorova et al., 2016-Request > Naming; socialcommunication	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Egorova et al., 2016-Words > Faces; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Falk et al., 2013-Buzz effect; socialcommunication	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Falk et al., 2013-Intention effect; socialcommunication	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Falk et al., 2013-Salesperson effect; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-A&B; socialcommunication	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Fehr et al., 2014-D&E; socialcommunication	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-a1> n1; socialcommunication	0	4	1	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-a1>p1; socialcommunication	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-a2> n2; socialcommunication	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-a2>p2; socialcommunication	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-p1> n1; socialcommunication	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-p1>a1; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-p2>a2; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fehr et al., 2014-p2>n2; socialcommunication	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Fruhholz et al., 2020-vocal > nonvocal; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George et al., 2001-direct > averted gaze ( across head angles); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George et al., 2001-face stimuli > baseline; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George et al., 2001-frontal > deviated head (across gaze direction); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilead et al., 2013-Abstract conjunction > Concrete conjunction; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilead et al., 2013-Concrete conjunction > abstract conjunction; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilead et al., 2013-Exemplars > Categories; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilead et al., 2013-How > Why; socialcommunication	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilead et al., 2013-Task x Concreteness; socialcommunication	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Güroğlu et al., 2008-(peer vs. celebrity) x (positive vs. non-positive); socialcommunication	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Habel et al., 2007-explicit (emotion) > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Habel et al., 2007-explicit (emotion) > implicit (age); socialcommunication	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Habel et al., 2007-implicit (age) > baseline; socialcommunication	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haist et al., 2010-faces > watches; socialcommunication	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haist et al., 2010-objects > faces; socialcommunication	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Haist et al., 2010-objects > watches; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haist et al., 2010-watches > faces; socialcommunication	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x difficulty > baseline; socialcommunication	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x familiarity > baseline; socialcommunication	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x rhythm > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x urge > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x difficulty > baseline; socialcommunication	0	1	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x familiarity > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x rhythm > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harrison et al., 2009-Interaction between feedback condition and variance in pupil size (positive > negative); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harrison et al., 2009-Main effect of change in observed and observer’s pupil size; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harrison et al., 2009-Main effect of viewing eyes; socialcommunication	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hellbernd et al., 2018-Ambiguous > Clear; socialcommunication	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hellbernd et al., 2018-Clear > Ambiguous; socialcommunication	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hensel et al., 2013-[(TR−AG)∩(AT−AG)∩(HA−AG)]; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hensel et al., 2013-[(TR−HA)∩(AT−HA)∩(AG−HA)]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hensel et al., 2013-[(TR−HA)∩(AT−HA)∩(TR−AG)∩(AT−AG)]; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heyda et al., 2010-Bodies > Places; socialcommunication	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heyda et al., 2010-Places > Bodies; socialcommunication	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoffman et al., 2000-Facial Stimuli > Control (Scrambled); socialcommunication	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Fear +  happy > neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Fear + neutral > happy; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Fear > happy +  neutral; socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Happy > fear + neutral; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear +  individual neutral > interactive neutral; socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear + interactive happy > individual happy; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear + interactive neutral > individual neutral; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear; socialcommunication	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive neutral > individual neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Neutral > fear +  happy; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-interactive > individual; socialcommunication	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ihme et al., 2014-AN > NE; socialcommunication	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ihme et al., 2014-FE > NE; socialcommunication	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ihme et al., 2014-HA > NE; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Javor et al., 2019-decision-making > results; socialcommunication	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Javor et al., 2019-results > decision-making; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanazawa et al., 2017-Fingerspelling > Letter; socialcommunication	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanazawa et al., 2017-Letter > Fingerspelling; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Conjunction analyses of the beauty and height distance effects; socialcommunication	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Conjunction analyses of the women and dog distance effects; socialcommunication	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Distance effect in the beauty condition > height condition; socialcommunication	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Distance effect in the dog condition > women condition; socialcommunication	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Distance effect in the height condition > beauty condition; socialcommunication	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Distance effect in the women condition > dog condition; socialcommunication	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Main effect of judgment: Beauty > height comparisons; socialcommunication	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Main effect of judgment: Height > beauty comparisons; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Main effect of judgment: Height > control condition; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Main effect of target: Dogs > Women; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kedia et al., 2013-Main effect of target: Women > dogs; socialcommunication	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-(C Neutral > Incongruent)  ∩ (C Angry > Incongruent)  ∩ (C Happy > Incongruent) corrected; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-(C Neutral > Incongruent)  ∩ (C Angry > Incongruent)  ∩ (C Happy > Incongruent) uncorrected; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-(CAV >  A) ∩ (CAV >  V) ∩ (ICAV >  A) ∩ (ICAV >  V); socialcommunication	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-(CAV >  A) ∩ (CAV >  V); socialcommunication	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-(ICAV >  A) ∩ (ICAV >  V); socialcommunication	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-CAV > ICAV; socialcommunication	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-Congruent happy AV > Incongruent; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klasen et al., 2011-ICAV > CAV; socialcommunication	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kohn et al., 2011-cartoons > neutral pictures; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-FAC-Angry > Control; socialcommunication	1	3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koppe et al., 2015-FAC-Angry > FAC-Happy; socialcommunication	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
