id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7
Bockler et al., 2016-congruent gaze cues > incongruent gaze cues	0	0	0	0	0	0	0
Bockler et al., 2016-eye contact > averted gaze	0	0	1	0	0	0	0
Bockler et al., 2016-eye contact x congruent > averted gaze x congruent	0	0	2	0	0	0	0
Bockler et al., 2016-incongruent gaze cues > congruent gaze cues	0	2	1	0	1	0	0
Braams et al., 2014-Interaction effect Person x Outcome	0	0	0	1	0	0	0
Braams et al., 2014-Main effect of Person	1	0	1	1	0	0	0
Braams et al., 2014-Main effect of outcome	0	0	2	0	1	1	0
Bristow et al., 2007-Incorrect > correct	0	0	2	3	0	0	0
Bristow et al., 2007-Incorrect > correct masked by Gaze Shift > No Movement	0	4	5	0	0	0	0
Bristow et al., 2007-Social > unsocial masked by correct > incorrect	2	0	2	4	0	0	0
Bristow et al., 2007-Social > unsocial masked by gaze shift > no movement	0	1	6	0	0	0	0
Bristow et al., 2007-Unsocial > social masked by Gaze Shift > No Movement	0	0	4	0	0	0	0
Bristow et al., 2007-Unsocial > social masked by incorrect > correct	0	1	2	0	1	0	0
Cacioppo et al., 2014-Negative correlation= perception of syncrhony and feelings of social affiliation	0	0	2	0	0	0	0
Cacioppo et al., 2014-Positive correlation= perception of syncrhony and feelings of social affiliation	0	0	1	1	0	0	0
Cacioppo et al., 2014-Synchrony > asynchrony	0	0	1	1	0	0	0
Canessa et al., 2012-affective > cooperative social interactions	0	0	0	5	0	0	0
Canessa et al., 2012-cooperative > affective social interactions	0	5	10	2	5	0	0
Canessa et al., 2012-observation of affective social interactions > landscape pictures	0	0	0	5	0	0	0
Canessa et al., 2012-observation of cooperative social interactions > landscape pictures	0	1	5	0	5	0	0
Canessa et al., 2012-observing cooperative + affective social interactions > landscape pictures	0	0	0	0	0	0	0
Carter et al., 2008-Angry > Happy	0	0	7	1	2	1	0
Carter et al., 2008-Happy > Angry	0	0	1	0	0	0	0
Caruana et al., 2015-(IJA - IJAc) with (RJA - RJAc)	0	0	3	0	3	0	0
Caruana et al., 2015-(IJA − IJAc) − (RJA − RJAc)	1	1	4	1	1	1	0
Caruana et al., 2015-IJA > IJAc	0	1	6	1	3	1	0
Caruana et al., 2015-RJA > RJAc	0	1	4	1	3	0	0
Cassidy et al., 2016-Black > White faces= A. Increased activation with less differentiation disparity	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces= A. Increased activation with less racial trust disparities	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces= A. Increased activation with more differentiation disparity	0	0	1	0	0	0	0
Cassidy et al., 2016-Black > White faces= A. Increased activation with more racial trust disparities	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces= B. Increased connectivity with dorsolateral prefrontal seed (24, 42, 21) with less differentiation disparity	0	0	2	0	0	0	0
Cassidy et al., 2016-Black > White faces= B. Increased connectivity with orbitofrontal cortex (18, 66, 0) with less racial trust disparity	0	0	4	0	1	0	0
Catmur et al., 2008-interaction between observed (hand and foot) and group (Compatible and Incompatible) > baseline during Action Observation task	0	0	2	0	0	0	0
Catmur et al., 2008-observation of both hands and feet > baseline and action execution (hands and feet) > baseline (conjunction analysis)	0	0	3	1	0	0	0
Cazzato et al., 2015-[incongruent > congruent trials]	0	2	3	0	0	0	0
Centelles et al., 2011-social interactions > nonsocial interactions	0	3	6	3	2	1	0
Chauvigne et al., 2018-Activations= Leading > Following (Followers only)	0	0	0	0	0	0	0
Chauvigne et al., 2018-Deactivations= Following > Leading (Followers only)	1	0	4	0	0	1	0
Chauvigne et al., 2018-Deactivations= Following > Leading (Whole-group)	1	0	2	0	0	1	0
Chauvigne et al., 2018a-Following > Conjunction	0	0	5	1	0	1	0
Chauvigne et al., 2018a-Leading + Following + Mutual > Solo + Alone)	0	0	3	2	0	1	0
Chauvigne et al., 2018a-Leading + Solo > Mutual + Alone	0	0	1	1	0	0	0
Chauvigne et al., 2018a-Leading > Conjunction	0	0	1	0	0	0	0
Chauvigne et al., 2018a-Leading > Solo	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Mutual > Conjunction	0	0	1	1	0	1	0
Chauvigne et al., 2018a-[Leading + Solo + Mutual + Alone] > Following	0	0	0	0	0	0	0
Chauvigne et al., 2018b-Activations= Leading > Following (Leaders only)	0	1	0	1	1	0	0
Chauvigne et al., 2018b-Activations= Leading > Following (Whole-group)	0	1	0	0	0	0	0
Chauvigne et al., 2018b-[Leading > Rest] and [Following > Rest] (followers only)	0	0	2	0	0	0	0
Chauvigne et al., 2018b-[Leading > Rest] and [Following > Rest] (leaders only)	0	0	3	0	0	0	0
Chen et al., 2010-Gender > Preference	0	0	1	0	0	0	0
Chen et al., 2010-Preference > Gender	1	1	1	3	1	0	0
Cheng et al., 2010-loved one > self	0	0	0	1	0	0	0
Cheng et al., 2010-loved one > stranger	1	0	0	1	0	0	0
Cheng et al., 2010-pain > no pain	0	1	0	3	0	2	0
Cheng et al., 2010-self > loved one	0	1	0	0	0	1	0
Cheng et al., 2010-self > stranger	0	1	0	1	1	1	0
Cheng et al., 2010-stranger > loved one	0	0	1	0	0	0	0
Cheng et al., 2010-stranger > self	0	0	3	0	0	0	0
Chiao et al., 2009-Collectivism > Individualism	0	0	0	0	0	0	0
Chiao et al., 2009-Contextual > General	0	1	2	2	1	0	0
Chiao et al., 2009-General > Contextual	0	0	0	1	0	0	0
Chiao et al., 2009-Individualism > Collectivism	0	0	1	0	0	1	0
Chiao et al., 2009-Self Judgement ( Contextual > General) > Self-Construal Style Index ( Collectivism > Individualism)	0	0	2	1	0	0	0
Ciaramidaro et al., 2013-0 degrees  > 30 degrees	0	0	1	0	0	0	0
Ciaramidaro et al., 2013-CInt > Pint	0	1	5	1	1	0	0
Ciaramidaro et al., 2013-[(Cint 0 degrees > Cint 30 degrees) > (Pint 0 degrees > Pint 30 degrees)]	0	0	2	1	1	0	0
Ciaramidaro et al., 2013-[CInt > Pint ∩ (Cint 0 degrees > Cint 30 degrees) > (Pint 0 degrees > Pint 30 degrees)]	0	1	1	0	0	0	0
Cikara et al., 2011-Sexualized Female > (Clothed Female & Sexualized Male & Clothed Male)	0	2	1	0	2	0	0
Cikara et al., 2014-Communication > moral (collapsing across self/other)	0	3	7	3	3	1	0
Cikara et al., 2014-Moral > communication (collapsing across self/other)	1	0	0	2	0	0	0
Cikara et al., 2014-Other > Self	3	0	6	0	0	0	0
Cikara et al., 2014-Other > self (collapsing across moral/communication)	0	0	0	0	1	2	0
Cikara et al., 2014-Self > other	0	0	0	3	0	0	0
Cikara et al., 2014-Self > other (collapsing across moral/communication)	0	3	4	0	0	0	0
Cloutier et al., 2011-Incongruent > Congruent	1	2	5	2	2	0	0
Cloutier et al., 2014-Status Level > baseline	0	0	3	0	0	1	0
Cloutier et al., 2014-Status Type > baseline	0	0	0	0	0	0	0
Cloutier et al., 2014-Status Type x Status Level > baseline	0	0	0	1	0	0	0
Contreras et al., 2011-Categorical knowledge (non-social > social)	0	2	1	0	0	0	0
Contreras et al., 2011-Categorical knowledge (social > non-social)	1	0	5	3	0	0	0
Contreras et al., 2013-Belief > Photo (Experiment 2)	1	0	3	1	0	0	0
Contreras et al., 2013-Group Mental > Group Physical (Experiment 1)	1	0	3	1	0	0	0
Contreras et al., 2013-Individual Mental > Individual Physical (Experiment 2)	1	1	2	1	0	0	0
Contreras et al., 2013-Member Mental > Member Physical  (Experiment 1)	1	0	3	2	0	0	0
Cooper et al., 2013-Match > Unrequited	1	0	0	1	0	0	0
Cooper et al., 2013-Mismatched (Rejection + Unrequited) > matched (Match + Disinterest)	0	1	1	0	0	0	0
Cooper et al., 2013-Partners who were given a no > those given a yes	0	0	1	0	0	0	0
Cooper et al., 2013-Partners who were given a yes > those given a no	0	0	1	1	1	1	0
Cooper et al., 2013-Rejection > Disinterest	0	0	0	0	0	0	0
Cooper et al., 2013-Unsigned prediction errors from RL model	0	0	0	1	0	0	0
Cooper et al., 2013-Yes (Match + Unrequited) > No (Rejection + Disinterest)	0	0	2	0	0	1	0
Cross et al., 2019-Main Effect of Agent=  Robot > Human	0	1	23	0	5	0	0
Cross et al., 2019-Main Effect of Agent= Human > Robot	0	0	2	0	0	0	0
Cross et al., 2019-Main Effect of Emotion (rAnE > rArE)	0	0	1	0	0	0	0
Cross et al., 2019-novel Agent repeated Emotion > repeated Agent repeated Emotion	0	0	9	0	0	0	0
Cuevas et al., 2019-gestures + speech > speech	0	0	2	0	0	0	0
Cuevas et al., 2019-interaction (gestures x complexity)	0	0	1	0	0	0	0
Cuevas et al., 2019-low complexity > high complexity	1	0	2	0	0	0	0
Cuevas et al., 2019-speech > gestures + speech	0	1	0	0	0	0	0
Davies-Thompson et al., 2018-(Bimodal > Unimodal faces) ∩ (Bimodal > Unimodal Voices)	0	0	1	0	0	0	0
Davies-Thompson et al., 2018-Incongruent > Congruent	0	4	4	0	3	0	0
Decety et al., 2004-Competition versus cooperation	0	0	1	1	0	0	0
Decety et al., 2004-Competition versus independent	0	2	0	1	1	0	0
Decety et al., 2004-Cooperation versus competition	2	0	0	1	0	0	0
Decety et al., 2004-Cooperation versus independent	0	1	3	0	1	0	0
Derntl et al., 2009-emotion-by-gender of poser interaction (fearful male expressions > fearful female expressions; female expressions of disgust > male expressions of disgust)	0	0	0	0	0	0	0
Derntl et al., 2009-interaction of testosterone and angry male expressions > baseline	0	0	0	0	0	0	0
Derntl et al., 2009-interaction of testosterone and fearful male expressions > baseline	0	0	0	0	0	0	0
Deuse et al., 2016-Main effect of gender Female > Male	0	0	1	0	0	0	0
Deuse et al., 2016-Negative > Positive Social Scenes	0	2	0	2	2	0	0
Deuse et al., 2016-Non-Social > Social Scenes	0	0	3	0	0	0	0
Deuse et al., 2016-Positive > Negative Social Scenes	0	0	1	0	0	0	0
Deuse et al., 2016-Social > Non-Social Scenes	2	0	8	4	3	4	0
Di Cesare et al., 2013-How > What	0	0	0	0	0	0	0
Di Cesare et al., 2013-How > explicit baseline	0	1	2	1	0	0	0
Di Cesare et al., 2013-How > implicit baseline	0	1	10	1	0	1	0
Di Cesare et al., 2013-What > How	0	2	3	0	1	0	0
Di Cesare et al., 2013-What > explicit baseline	0	1	3	0	0	0	0
Di Cesare et al., 2013-What > implicit baseline	0	1	13	1	0	1	0
Di Cesare et al., 2013-What and How > explicit baseline	0	2	3	1	0	0	0
Di Cesare et al., 2013-What and How > implicit baseline	0	1	12	1	0	1	0
Dichter et al., 2008-(Face Targets > Novels) > (Shape Targets > Novels)	0	0	2	1	0	0	0
Dichter et al., 2008-Face Targets > Novels	0	0	1	0	1	0	0
Dichter et al., 2008-Shape Targets > Novels	0	0	0	1	1	0	0
Dimenichi et al., 2016-Competition > No Competition	0	0	3	0	2	0	0
Dimenichi et al., 2016-No Competition > Competition	0	0	2	0	0	0	0
Dungan et al., 2016-Agent-behavior > object-behavior	1	0	1	0	0	0	0
Dungan et al., 2016-Agent-behavior= unexpected > expected	0	1	1	0	0	0	0
Dungan et al., 2016-Agent-mental > agent-behavior	0	0	1	0	0	0	0
Dungan et al., 2016-Agent-mental > object-behavior	1	0	2	1	0	0	0
Dungan et al., 2016-Agent-mental= unexpected > expected	0	0	0	0	0	0	0
Dungan et al., 2016-Object-behavior= unexpected > expected	0	1	0	0	0	0	0
Dungan et al., 2016-Social > non-social	1	0	2	1	0	0	0
Dungan et al., 2016-Unexpected > expected	0	1	2	1	2	2	0
Ebisch et al., 2014-[(hand/human hand > hand/fake hand) − (object/human hand > object/fake hand)]	0	0	0	1	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)]	0	0	1	0	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)] − Target effect [human hand > fake hand] − Modality effect= [hand > object]	0	0	0	0	0	0	0
Ebisch et al., 2014-[(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)] − Target effect [human hand > fake hand] − Modality effect= [object > hand]	0	0	2	0	0	0	0
Ebisch et al., 2014-[human hand > fake hand] − Modality effect= [object > hand]	0	0	1	0	0	0	0
Egorova et al., 2016-Request > Naming	0	2	1	0	0	0	0
Egorova et al., 2016-Words > Faces	0	0	0	0	0	0	0
Emmerling et al., 2016-Aggressive reaction to provoking opponent > non aggressive reaction to non-provoking opponent	0	0	1	0	1	0	0
Emmerling et al., 2016-Lost > Won	0	0	2	0	0	0	0
Emmerling et al., 2016-Lost against the non-provoking opponent > lost against the provoking opponent	0	0	1	0	0	0	0
Emmerling et al., 2016-Non aggressive reaction to non-provoking opponent > aggressive reaction to provoking opponent	0	0	1	0	0	0	0
Emmerling et al., 2016-Retaliation independent of opponent	0	0	1	0	0	0	0
Emmerling et al., 2016-Retaliation interacting with non-provoking opponent	0	0	1	0	0	0	0
Emmerling et al., 2016-Retaliation interacting with provoking opponent	0	0	1	0	0	0	0
Emmerling et al., 2016-Won > Lost	1	0	2	0	0	2	0
Emonds et al., 2014-Interaction effect between dispositional trust and social value orientation	1	0	0	1	0	0	0
Emonds et al., 2014-Main effect of social value orientation on decision-making	2	0	1	1	2	0	0
Ermer et al., 2006-Cards > Rest	0	0	4	1	0	0	0
Ermer et al., 2006-Cards= Descriptives > Precautions	0	0	1	0	1	0	0
Ermer et al., 2006-Cards= Descriptives > Social Contracts	1	1	0	0	1	0	0
Ermer et al., 2006-Cards= Precautions > Descriptives	0	0	0	0	0	0	0
Ermer et al., 2006-Cards= Precautions > Social Contracts	0	1	2	0	2	0	0
Ermer et al., 2006-Rest > Cards	0	0	0	1	0	0	0
Ermer et al., 2006-Rest > Stories	0	0	3	0	0	0	0
Ermer et al., 2006-Stories > Rest	0	2	3	1	0	0	0
Ermer et al., 2006-Stories= Descriptives > Precautions	0	0	0	0	0	1	0
Ermer et al., 2006-Stories= Precautions > Descriptives	0	0	0	0	0	0	0
Ermer et al., 2006-Stories= Precautions > Social Contracts	0	0	0	0	0	0	0
Ermer et al., 2006-Stories= Social Contracts > Descriptives	0	0	1	0	0	0	0
Ermer et al., 2006-Stories= Social Contracts > Precautions	0	0	0	0	0	0	0
Falk et al., 2013-Buzz effect	1	0	2	1	0	1	0
Falk et al., 2013-Intention effect	1	0	0	1	0	0	0
Falk et al., 2013-Salesperson effect	0	0	1	0	0	0	0
Farrow et al., 2001-Conjunction analysis  Forgivability + Empathic	1	0	0	0	0	0	0
Farrow et al., 2001-Empathic > Forgivability	0	0	1	0	0	0	0
Farrow et al., 2001-Empathic > Social Reasoning	1	0	1	0	0	0	0
Farrow et al., 2001-Forgivability > Empathic	1	0	0	2	0	0	0
Farrow et al., 2001-Forgivability > Social Reasoning	1	0	0	2	0	0	0
Farrow et al., 2011-Social alliance vs. ‘number equal’	1	0	2	4	1	1	0
Farrow et al., 2011-Social hierarchy vs. fame, age, gender and ‘no. higher / lower’	0	1	3	0	0	0	0
Fehr et al., 2014-A&B	0	2	7	0	1	0	0
Fehr et al., 2014-D&E	0	0	4	0	0	0	0
Fehr et al., 2014-a1> n1	0	3	8	0	2	1	0
Fehr et al., 2014-a1>p1	1	1	3	0	3	2	0
Fehr et al., 2014-a2> n2	0	0	6	0	0	0	0
Fehr et al., 2014-a2>p2	0	1	6	0	0	0	1
Fehr et al., 2014-p1> n1	0	2	7	2	1	0	0
Fehr et al., 2014-p1>a1	1	0	3	0	0	0	0
Fehr et al., 2014-p2>a2	0	0	2	1	0	0	0
Fehr et al., 2014-p2>n2	0	0	6	0	0	0	0
Filkowski et al., 2015-Attitude > Age	1	1	3	1	1	0	0
Filkowski et al., 2015-Distrust > Age	0	0	2	1	1	0	0
Filkowski et al., 2015-Trust > Age	1	0	3	1	1	0	0
Filkowski et al., 2015-Trust > Distrust	0	0	0	1	0	0	0
Fruhholz et al., 2020-vocal > nonvocal	0	0	2	0	0	0	0
George et al., 2001-direct > averted gaze ( across head angles)	0	0	0	0	0	0	0
George et al., 2001-face stimuli > baseline	0	0	1	0	0	0	0
George et al., 2001-frontal > deviated head (across gaze direction)	0	0	1	0	0	0	0
Georgescu et al., 2013-(Contingent > Mirrored) > (Smooth > Rigid)	0	0	1	0	0	0	0
Georgescu et al., 2013-Contingent > Mirrored	0	1	7	0	3	1	0
Georgescu et al., 2013-Mirrored > Contingent	1	0	2	0	0	0	0
Georgescu et al., 2013-Rigid > Smooth	0	0	2	0	0	0	0
Georgescu et al., 2013-meaningful videos > scrambled videos	0	3	8	3	3	0	0
Gilead et al., 2013-Abstract conjunction > Concrete conjunction	0	0	1	0	0	0	0
Gilead et al., 2013-Concrete conjunction > abstract conjunction	0	1	0	1	0	0	0
Gilead et al., 2013-Exemplars > Categories	1	0	1	1	0	0	0
Gilead et al., 2013-How > Why	0	0	1	0	0	0	0
Gilead et al., 2013-Task x Concreteness	0	0	0	1	0	0	0
Gordon et al., 2011-arm > baseline	0	0	2	2	0	0	0
Gordon et al., 2011-arm > palm	0	0	2	0	0	0	0
Gordon et al., 2011-palm > baseline	0	0	0	0	0	0	0
Greven et al., 2016-Bodies > Names	0	0	7	0	2	3	0
Greven et al., 2016-Names > Bodies	0	4	3	1	1	0	0
Greven et al., 2016-Neutral > Traits	0	1	0	0	0	0	0
Greven et al., 2016-Traits > Neutral	2	2	6	3	1	0	0
Greven et al., 2016-[(BodiesTraits > BodiesNeutral) > (NamesTraits > NamesNeutral)]	0	0	1	1	0	0	0
Greven et al., 2016-[(NamesTraits > NamesNeutral) > (BodiesTraits > BodiesNeutral)]	0	0	2	0	0	0	0
Güroğlu et al., 2008-(peer vs. celebrity) x (positive vs. non-positive)	0	0	3	1	0	2	0
Habel et al., 2007-explicit (emotion) > baseline	0	0	0	0	0	3	0
Habel et al., 2007-explicit (emotion) > implicit (age)	0	0	2	0	0	1	0
Habel et al., 2007-implicit (age) > baseline	0	0	2	0	0	1	0
Haist et al., 2010-faces > watches	3	0	0	0	0	0	0
Haist et al., 2010-objects > faces	0	0	10	0	0	0	0
Haist et al., 2010-objects > watches	0	0	0	0	0	0	0
Haist et al., 2010-watches > faces	0	1	5	0	1	0	0
Hamilton et al., 2017-monogamous men compared to nonmonogamous, romantic > neutral contrast	0	0	0	0	1	2	0
Hamilton et al., 2017-monogamous men compared to nonmonogamous, romantic > sexual contrast	0	0	2	0	0	0	0
Han et al., 2016-Activation > Deactivation	0	0	6	2	0	0	0
Han et al., 2016-Agency vs. Communion	0	0	0	0	0	1	0
Han et al., 2016-Communion vs. Agency	0	0	1	0	0	0	0
Han et al., 2016-Deactivation > Activation	0	0	2	3	0	0	0
Hanawa et al., 2016-imitation x difficulty > baseline	0	1	1	2	0	0	0
Hanawa et al., 2016-imitation x familiarity > baseline	1	0	1	0	0	0	0
Hanawa et al., 2016-imitation x rhythm > baseline	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x urge > baseline	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x difficulty > baseline	0	0	4	2	2	0	0
Hanawa et al., 2016-observation x familiarity > baseline	0	0	1	1	0	0	0
Hanawa et al., 2016-observation x rhythm > baseline	0	0	0	0	0	0	0
Hare et al., 2010-average activity free > forced trials	1	0	1	0	1	0	0
Hare et al., 2010-subjective value during free trials > forced trials	0	0	2	1	0	0	0
Hare et al., 2010-willingness to give + free - forced trials	0	0	2	0	0	1	0
Harris et al., 2007, 2007-SE>NS	0	0	0	1	0	0	0
Harris et al., 2007-Age> Vegetable	0	0	0	0	0	0	0
Harris et al., 2007-Vegetable > Age	1	0	1	3	0	0	0
Harris et al., 2007-interaction between SE>NS and age task	0	0	0	0	0	0	0
Harris et al., 2007-interaction between SE>NS and vegetable task	0	0	0	1	0	0	0
Harris et al., 2007-interaction of Vegetable>Age with NS only	0	0	0	1	0	0	0
Harris et al., 2007-interaction of Vegetable>Age with SE only	0	0	0	1	0	0	0
Harris et al., 2010-competence expectancy violation > consistant competence expectency	0	0	0	0	0	0	0
Harris et al., 2010-consistant competence expectency > competence expectancy violation	0	0	1	0	0	0	0
Harris et al., 2010-consistent warmth expectancy >  warm expectancy violation	0	0	0	0	0	0	0
Harris et al., 2010-warm expectancy violation  >  consistent warmth expectancy	0	0	0	0	2	0	0
Harrison et al., 2009-Interaction between feedback condition and variance in pupil size (positive > negative)	0	0	0	0	0	0	0
Harrison et al., 2009-Main effect of change in observed and observer’s pupil size	0	0	0	0	0	0	0
Harrison et al., 2009-Main effect of viewing eyes	0	0	3	0	1	0	0
Hartung et al., 2019= before treatment > after treatment (decreased activation)-analysis_1	0	0	0	1	0	0	0
Hartung et al., 2019= before treatment > after treatment (increased activation)-analysis_1	0	0	1	0	1	0	0
Hellbernd et al., 2018-Ambiguous > Clear	0	1	0	3	2	0	0
Hellbernd et al., 2018-Clear > Ambiguous	0	0	6	1	0	1	0
Hensel et al., 2013-[(TR−AG)∩(AT−AG)∩(HA−AG)]	0	0	4	0	0	0	0
Hensel et al., 2013-[(TR−HA)∩(AT−HA)∩(AG−HA)]	1	0	1	0	0	0	0
Hensel et al., 2013-[(TR−HA)∩(AT−HA)∩(TR−AG)∩(AT−AG)]	0	0	4	1	0	0	0
Herold et al., 2016-Self-referential > social	0	1	3	2	0	0	0
Herold et al., 2016-Social > self-referential	1	0	3	0	0	1	0
Heyda et al., 2010-Bodies > Places	0	0	3	0	0	2	0
Heyda et al., 2010-Places > Bodies	0	1	1	0	1	0	0
Hoffman et al., 2000-Facial Stimuli > Control (Scrambled)	0	0	6	0	0	0	0
Hortensius et al., 2014-control > bystander	0	0	1	0	0	0	0
Hortensius et al., 2014-falling > standing	0	0	0	0	0	0	0
Hortensius et al., 2014-standing >  falling	0	0	3	0	0	0	0
Hughes et al., 2011-Close Other > Non-Close Other	0	0	0	0	0	0	0
Hughes et al., 2011-Negative > Positive	0	1	0	0	0	0	0
Hughes et al., 2011-Positive > Negative	0	0	0	0	0	0	0
Hughes et al., 2011-Target x Breadth	0	0	0	1	0	0	0
Huis in ‘t Veld et al., 2015-Fear +  happy > neutral	0	0	1	0	0	0	0
Huis in ‘t Veld et al., 2015-Fear + neutral > happy	0	0	1	0	0	0	0
Huis in ‘t Veld et al., 2015-Fear > happy +  neutral	0	1	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Happy > fear + neutral	0	0	2	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear	0	0	3	0	1	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear +  individual neutral > interactive neutral	0	1	0	0	1	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear + interactive happy > individual happy	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive fear > individual fear + interactive neutral > individual neutral	0	0	2	0	0	0	0
Huis in ‘t Veld et al., 2015-Interactive neutral > individual neutral	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-Neutral > fear +  happy	0	0	0	0	0	0	0
Huis in ‘t Veld et al., 2015-interactive > individual	0	1	8	0	0	0	0
Iacobani et al., 2004-Relational > alone	1	0	1	1	1	0	0
Ihme et al., 2014-AN > NE	0	1	0	0	0	0	0
Ihme et al., 2014-FE > NE	0	1	0	1	0	2	0
Ihme et al., 2014-HA > NE	0	0	0	1	0	0	0
Isik et al., 2017-interacting > independent action	0	0	1	0	0	0	0
Jankowski et al., 2014-DA > CA	1	0	0	2	0	0	0
Jankowski et al., 2014-DP > CP	0	0	0	2	0	0	0
Jankowski et al., 2014-DS > CS	1	0	0	2	0	0	0
Jankowski et al., 2014-OA > CA	2	0	0	2	0	0	0
Jankowski et al., 2014-OP > CP	1	0	0	1	0	0	0
Jankowski et al., 2014-OS > CS	1	0	0	2	0	0	0
Jankowski et al., 2014-RA > CA	1	0	2	1	0	0	0
Jankowski et al., 2014-RP > CP	1	0	0	2	0	0	0
