id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24
Begliomini et al., 2017-Stimulus*Direction; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Benoit et al., 2010-Other > self; others	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Benoit et al., 2010-Other > syllables; others	1	2	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergström et al., 2014-New > old; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergström et al., 2014-Old > new; others	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bitsch et al., 2018-Competitive > Cooperative; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bitsch et al., 2018-Cooperative > Competitive; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bitsch et al., 2018-Dynamic ToM-Value Competitive > Cooperative; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bitsch et al., 2018-Early phase Competitive > Cooperative; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackwood et al., 2003-External > internal; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackwood et al., 2003-Internal > external; others	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackwood et al., 2003-Non-self-serving bias > Self-serving bias; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackwood et al., 2003-Self-serving bias > Non-self-serving bias; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canessa et al., 2012-affective > cooperative social interactions; others	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canessa et al., 2012-cooperative > affective social interactions; others	0	1	1	1	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Canessa et al., 2012-observation of affective social interactions > landscape pictures; others	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canessa et al., 2012-observation of cooperative social interactions > landscape pictures; others	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canessa et al., 2012-observing cooperative + affective social interactions > landscape pictures; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carter et al., 2008-Angry > Happy; others	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carter et al., 2008-Happy > Angry; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with less differentiation disparity; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with less racial trust disparities; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with more differentiation disparity; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with more racial trust disparities; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: B. Increased connectivity with orbitofrontal cortex (18, 66, 0) with less racial trust disparity; others	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: B. Increassed connectivity with dorsolateral prefrontal seed (24, 42, 21) with less differentiation disparity; others	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centelles et al., 2011-social interactions > nonsocial interactions; others	0	3	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018-Activations: Leading > Following (Followers only); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018-Deactivations: Following > Leading (Followers only); others	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018-Deactivations: Following > Leading (Whole-group); others	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Following > Conjunction; others	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Leading + Following + Mutual > Solo + Alone); others	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Leading + Solo > Mutual + Alone; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Leading > Conjunction; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Leading > Solo; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-Mutual > Conjunction; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018a-[Leading + Solo + Mutual + Alone] > Following; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018b-Activations: Leading > Following (Leaders only); others	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018b-Activations: Leading > Following (Whole-group); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018b-[Leading > Rest] and [Following > Rest] (followers only); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chauvigne et al., 2018b-[Leading > Rest] and [Following > Rest] (leaders only); others	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-loved one > self; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-loved one > stranger; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-pain > no pain; others	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-stranger > loved one; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-stranger > self; others	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciaramidaro et al., 2013-0 degrees  > 30 degrees; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ciaramidaro et al., 2013-CInt > Pint; others	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciaramidaro et al., 2013-[(Cint 0 degrees > Cint 30 degrees) > (Pint 0 degrees > Pint 30 degrees)]; others	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciaramidaro et al., 2013-[CInt > Pint ∩ (Cint 0 degrees > Cint 30 degrees) > (Pint 0 degrees > Pint 30 degrees)]; others	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cikara et al., 2011-Sexualized Female > (Clothed Female & Sexualized Male & Clothed Male); others	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cikara et al., 2014-Communication > moral (collapsing across self/other); others	0	1	0	3	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cikara et al., 2014-Moral > communication (collapsing across self/other); others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cikara et al., 2014-Other > Self; others	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cikara et al., 2014-Other > self (collapsing across moral/communication); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloutier et al., 2011-Incongruent > Congruent; others	1	2	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2011-Categorical knowledge (non-social > social); others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Contreras et al., 2011-Categorical knowledge (social > non-social); others	1	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2013-Belief > Photo (Experiment 2); others	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2013-Group Mental > Group Physical (Experiment 1); others	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2013-Individual Mental > Individual Physical (Experiment 2); others	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2013-Member Mental > Member Physical  (Experiment 1); others	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cross et al., 2019-Main Effect of Agent:  Robot > Human; others	0	4	5	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cross et al., 2019-Main Effect of Agent: Human > Robot; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cross et al., 2019-Main Effect of Emotion (rAnE > rArE); others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cross et al., 2019-novel Agent repeated Emotion > repeated Agent repeated Emotion; others	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Competition versus cooperation; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Competition versus independent; others	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Cooperation versus competition; others	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Cooperation versus independent; others	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Deuse et al., 2016-Main effect of gender Female > Male; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deuse et al., 2016-Negative > Positive Social Scenes; others	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deuse et al., 2016-Non-Social > Social Scenes; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deuse et al., 2016-Positive > Negative Social Scenes; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deuse et al., 2016-Social > Non-Social Scenes; others	2	5	3	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Di Cesare et al., 2013-How > What; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Di Cesare et al., 2013-How > explicit baseline; others	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Di Cesare et al., 2013-How > implicit baseline; others	0	3	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Di Cesare et al., 2013-What > How; others	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Di Cesare et al., 2013-What > explicit baseline; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Di Cesare et al., 2013-What > implicit baseline; others	0	3	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Di Cesare et al., 2013-What and How > explicit baseline; others	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Di Cesare et al., 2013-What and How > implicit baseline; others	0	5	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Agent-behavior > object-behavior; others	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Agent-behavior: unexpected > expected; others	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Agent-mental > agent-behavior; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Agent-mental > object-behavior; others	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Agent-mental: unexpected > expected; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Object-behavior: unexpected > expected; others	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Social > non-social; others	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dungan et al., 2016-Unexpected > expected; others	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Aggressive reaction to provoking opponent > non aggressive reaction to non-provoking opponent; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Lost > Won; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Lost against the non-provoking opponent > lost against the provoking opponent; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Non aggressive reaction to non-provoking opponent > aggressive reaction to provoking opponent; others	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Retaliation independent of opponent; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Retaliation interacting with non-provoking opponent; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Retaliation interacting with provoking opponent; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emmerling et al., 2016-Won > Lost; others	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emonds et al., 2014-Interaction effect between dispositional trust and social value orientation; others	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emonds et al., 2014-Main effect of social value orientation on decision-making; others	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ermer et al., 2006-Cards > Rest; others	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Cards: Descriptives > Precautions; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Cards: Descriptives > Social Contracts; others	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Cards: Precautions > Descriptives; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Cards: Precautions > Social Contracts; others	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Rest > Cards; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Rest > Stories; others	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Stories > Rest; others	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Stories: Descriptives > Precautions; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ermer et al., 2006-Stories: Precautions > Descriptives; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Stories: Precautions > Social Contracts; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Stories: Social Contracts > Descriptives; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermer et al., 2006-Stories: Social Contracts > Precautions; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2001-Conjunction analysis  Forgivability + Empathic; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2001-Empathic > Forgivability; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2001-Empathic > Social Reasoning; others	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2001-Forgivability > Empathic; others	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2001-Forgivability > Social Reasoning; others	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2011-Social alliance vs. ‘number equal’; others	1	0	1	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farrow et al., 2011-Social hierarchy vs. fame, age, gender and ‘no. higher / lower’; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgescu et al., 2013-(Contingent > Mirrored) > (Smooth > Rigid); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgescu et al., 2013-Contingent > Mirrored; others	0	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgescu et al., 2013-Mirrored > Contingent; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgescu et al., 2013-Rigid > Smooth; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgescu et al., 2013-meaningful videos > scrambled videos; others	0	3	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greven et al., 2016-Bodies > Names; others	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greven et al., 2016-Names > Bodies; others	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Greven et al., 2016-Neutral > Traits; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greven et al., 2016-Traits > Neutral; others	2	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greven et al., 2016-[(BodiesTraits > BodiesNeutral) > (NamesTraits > NamesNeutral)]; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greven et al., 2016-[(NamesTraits > NamesNeutral) > (BodiesTraits > BodiesNeutral)]; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x difficulty > baseline; others	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x familiarity > baseline; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x rhythm > baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-imitation x urge > baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x difficulty > baseline; others	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x familiarity > baseline; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanawa et al., 2016-observation x rhythm > baseline; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hare et al., 2010-average activity free > forced trials; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hare et al., 2010-subjective value during free trials > forced trials; others	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hare et al., 2010-willingness to give + free - forced trials; others	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007, 2007-SE>NS; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-Age> Vegetable; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-Vegetable > Age; others	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-interaction between SE>NS and age task; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-interaction between SE>NS and vegetable task; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-interaction of Vegetable>Age with NS only; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2007-interaction of Vegetable>Age with SE only; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2010-competence expectancy violation > consistant competence expectency; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2010-consistant competence expectency > competence expectancy violation; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2010-consistent warmth expectancy >  warm expectancy violation; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harris et al., 2010-warm expectancy violation  >  consistent warmth expectancy; others	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heyda et al., 2010-Bodies > Places; others	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Heyda et al., 2010-Places > Bodies; others	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hortensius et al., 2014-control > bystander; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hortensius et al., 2014-falling > standing; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hortensius et al., 2014-standing >  falling; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iacobani et al., 2004-Relational > alone; others	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isik et al., 2017-interacting > independent action; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jankowski et al., 2014-OA > CA; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jankowski et al., 2014-OP > CP; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jankowski et al., 2014-OS > CS; others	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janowski et al., 2012-Empathic > Self-oriented; others	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
