nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Mainieri et al., 2013","Mainieri et al., 2013",exact_match,23684882,Mainieri,2013,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,1,1
"Majdandzic et al., 2016","Majdandzic et al., 2016",fuzzy_match,27568587,Majdandžić,2016,The selfless mind: How prefrontal involvement in mentalizing with similar and dissimilar others shapes empathy and prosocial behavior.,0.95,1
"Mano et al., 2011","Mano et al., 2011",exact_match,21600991,Mano,2011,The representation of social interaction in episodic memory: a functional MRI study.,1,1
"Mattan et al., 2018","Mattan et al., 2018",exact_match,29077925,Mattan,2018,External motivation to avoid prejudice alters neural responses to targets varying in race and status.,1,1
"Mazzola et al., 2016","Mazzola et al., 2016",exact_match,27375449,Mazzola,2016,What Impact does An Angry Context have Upon Us? The Effect of Anger on Functional Connectivity of the Right Insula and Superior Temporal Gyri.,1,1
"Mclatchie et al., 2016","Mclatchie et al., 2016",exact_match,26746179,Mclatchie,2016,'Imagined guilt' vs 'recollected guilt': implications for fMRI.,1,1
"Miedl et al., 2016","Miedl et al., 2016",exact_match,26892859,Miedl,2016,"Criticism hurts everybody, praise only some: Common and specific neural responses to approving and disapproving social-evaluative videos.",1,1
"Moll et al., 2012","Moll et al., 2012",exact_match,22956840,Moll,2012,A neural signature of affiliative emotion in the human septohypothalamic area.,1,1
"Morawetz et al., 2016","Morawetz et al., 2016",exact_match,27510495,Morawetz,2016,Intrinsic functional connectivity underlying successful emotion regulation of angry faces.,1,1
"Morese et al., 2019","Morese et al., 2019",exact_match,31056647,Morese,2019,Social support modulates the neural correlates underlying social exclusion.,1,1
"Murch et al., 2014","Murch et al., 2014",exact_match,23988759,Murch,2014,A neuroimaging investigation of attribute framing and individual differences.,1,1
"Nagals., 2015","Nagals., 2015",fuzzy_match,25640962,Nagels,2015,Feeling addressed! The role of body orientation and co-speech gesture in social communication.,0.833333333,1
"Neukel et al., 2019","Neukel et al., 2019",exact_match,30056560,Neukel,2019,Neural processing of the own child's facial emotions in mothers with a history of early life maltreatment.,1,1
"Otti et al., 2015","Otti et al., 2015",exact_match,26301900,Otti,2015,Is the Medial Prefrontal Cortex Necessary for Theory of Mind?,1,1
"Pehrs et al., 2017","Pehrs et al., 2017",exact_match,26604273,Pehrs,2017,The Temporal Pole Top-Down Modulates the Ventral Visual Stream During Social Cognition.,1,1
"Pierno et al., 2008","Pierno et al., 2008",exact_match,18633846,Pierno,2008,Observing social interactions: the effect of gaze.,1,1
"Platek et al., 2005","Platek et al., 2005",fuzzy_match,16035037,Platek,2006,Neural substrates for functionally discriminating self-face from personally familiar faces.,0.95,1
"Powers et al., 2016","Powers et al., 2016",exact_match,26206505,Powers,2016,Individual differences in response of dorsomedial prefrontal cortex predict daily social behavior.,1,1
"Quirin et al., 2012","Quirin et al., 2012",fuzzy_match,22841755,Quirin,2013,Neural correlates of social motivation: an fMRI study on power versus affiliation.,0.95,1
"Ramsey et al., 2013","Ramsey et al., 2013",exact_match,23249349,Ramsey,2013,Seeing it my way or your way: frontoparietal brain areas sustain viewpoint-independent perspective selection processes.,1,1
"Rauchbauer et al., 2015","Rauchbauer et al., 2015",exact_match,25929599,Rauchbauer,2015,Distinct neural processes are engaged in the modulation of mimicry by social group-membership and emotional expressions.,1,1
"Redcay et al., 2010a","Redcay et al., 2010a",exact_match,20096792,Redcay,2010,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,1,1
"Redcay et al., 2010b","Redcay et al., 2010b",exact_match,20096792,Redcay,2010,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,1,1
"Rice et al., 2016","Rice et al., 2016",exact_match,26608245,Rice,2016,Interaction matters: A perceived social partner alters the neural processing of human speech.,1,1
"Ruckmann et al., 2015","Ruckmann et al., 2015",exact_match,26323252,Ruckmann,2015,How pain empathy depends on ingroup/outgroup decisions: A functional magnet resonance imaging study.,1,1
"Rudorf et al., 2018","Rudorf et al., 2018",exact_match,29760183,Rudorf,2018,Neural Mechanisms Underlying Individual Differences in Control-Averse Behavior.,1,1
"Safron et al., 2018","Safron et al., 2018",exact_match,29330483,Safron,2018,"Neural Correlates of Sexual Orientation in Heterosexual, Bisexual, and Homosexual Women.",1,1
"Sander et al., 2005","Sander et al., 2005",exact_match,16055351,Sander,2005,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,1,1
"Sapey- Triomphe et al., 2017","Sapey- Triomphe et al., 2017",exact_match,28008075,Sapey-Triomphe,2017,Deciphering human motion to discriminate social interactions: a developmental neuroimaging study.,1,1
"Sato et al., 2019","Sato et al., 2019",exact_match,31090126,Sato,2019,Widespread and lateralized social brain activity for processing dynamic facial expressions.,1,1
"Schaefer et al., 2014","Schaefer et al., 2014",exact_match,24097375,Schaefer,2014,Rough primes and rough conversations: evidence for a modality-specific basis to mental metaphors.,1,1
"Scheuerecker et al., 2007","Scheuerecker et al., 2007",exact_match,17986835,Scheuerecker,2007,Cerebral differences in explicit and implicit emotional processing--an fMRI study.,1,1
"Schilbach et al., 2010","Schilbach et al., 2010",fuzzy_match,20188190,Chen,2010,'Do I like this person?' A network analysis of midline cortex during a social preference task.,0.666666667,1
"Schmitgen et al., 2016","Schmitgen et al., 2016",exact_match,26803059,Schmitgen,2016,Stimulus-dependent amygdala involvement in affective theory of mind generation.,1,1
"Scholz et al., 2017","Scholz et al., 2017",exact_match,28242678,Scholz,2017,A neural model of valuation and information virality.,1,1
"Schulte-Rüther et al., 2008","Schulte-Rüther et al., 2008",exact_match,18514546,Schulte-Rüther,2008,Gender differences in brain networks supporting empathy.,1,1
"Seehausen et al., 2016","Seehausen et al., 2016",exact_match,26812250,Seehausen,2016,Effects of empathic social responses on the emotions of the recipient.,1,1
"Seitz et al., 2008","Seitz et al., 2008",exact_match,18313858,Seitz,2008,Valuating other people's emotional face expression: a combined functional magnetic resonance imaging and electroencephalography study.,1,1
"Semrud-Clikeman et al., 2011","Semrud-Clikeman et al., 2011",exact_match,21606658,Semrud-Clikeman,2011,The role of the right hemisphere for processing of social interactions in normal adults using functional magnetic resonance imaging.,1,1
"Silani et al., 2013","Silani et al., 2013",exact_match,24068815,Silani,2013,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,1,1
"Singer et al., 2004","Singer et al., 2004",exact_match,14980212,Singer,2004,Brain responses to the acquired moral status of faces.,1,1
"Smith et al., 2017","Smith et al., 2017",exact_match,27007121,Smith,2017,Contributions of self-report and performance-based individual differences measures of social cognitive ability to large-scale neural network functioning.,1,1
"Sokolov et al., 2012","Sokolov et al., 2012",exact_match,22019860,Sokolov,2012,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,1,1
"Sperduti et al., 2014","Sperduti et al., 2014",exact_match,24414614,Sperduti,2014,Mirror Neuron System and Mentalizing System connect during online social interaction.,1,1
"Spunt et al., 2013","Spunt et al., 2013",exact_match,23221019,Spunt,2013,The busy social brain: evidence for automaticity and control in the neural systems supporting social cognition and action understanding.,1,1
"Spunt et al., 2015","Spunt et al., 2015",exact_match,25911123,Spunt,2015,Folk explanations of behavior: a specialized use of a domain-general mechanism.,1,1
"Spunt et al., 2019","Spunt et al., 2019",no_match,,,,,0,0
"Stanley et al., 2016","Stanley et al., 2016",exact_match,26656563,Stanley,2016,Getting to know you: general and specific neural computations for learning about people.,1,1
"Sugiura et al., 2008","Sugiura et al., 2008",exact_match,18501639,Sugiura,2008,Face-specific and domain-general characteristics of cortical responses during self-recognition.,1,1
"Sugiura et al., 2010","Sugiura et al., 2010",fuzzy_match,20350171,Sugiura,2011,Beyond the memory mechanism: person-selective and nonselective processes in recognition of personally familiar faces.,0.95,1
"Sumiya et al., 2017","Sumiya et al., 2017",exact_match,28477977,Sumiya,2017,Brain networks of social action-outcome contingency: The role of the ventral striatum in integrating signals from the sensory cortex and medial prefrontal cortex.,1,1
"Sun et al., 2016","Sun et al., 2016",exact_match,27494142,Sun,2016,The Neural Responses to Social Cooperation in Gain and Loss Context.,1,1
"Suslow et al., 2009","Suslow et al., 2009",exact_match,19347874,Suslow,2009,Attachment avoidance modulates neural response to masked facial emotion.,1,1
"Suslow et al., 2017","Suslow et al., 2017",exact_match,27856343,Suslow,2017,Brain response to masked and unmasked facial emotions as a function of implicit and explicit personality self-concept of extraversion.,1,1
"Takahashi et al., 2004","Takahashi et al., 2004",exact_match,15528097,Takahashi,2004,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study.,1,1
"Tamir et al., 2010","Tamir et al., 2010",exact_match,20534459,Tamir,2010,Neural correlates of anchoring-and-adjustment during mentalizing.,1,1
"Tamir et al., 2015","Tamir et al., 2015",multiple_matches,26342221,Tamir,2016,Reading fiction and reading minds: the role of simulation in the default network.,0.95,3
"Tamir et al., 2015","Tamir et al., 2015",multiple_matches,27266443,Kirk,2016,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,0.616666667,3
"Tamir et al., 2015","Tamir et al., 2015",multiple_matches,24936688,Cloutier,2014,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,0.616666667,3
"Telzer et al., 2011","Telzer et al., 2011",exact_match,21703352,Telzer,2011,Neural regions associated with self control and mentalizing are recruited during prosocial behaviors towards the family.,1,1
"Thornton et al., 2013","Thornton et al., 2013",exact_match,23298748,Thornton,2013,Working memory for social information: chunking or domain-specific buffer?,1,1
"Toki et al, 2013","Toki et al, 2013",exact_match,24051621,Toki,2013,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,1,1
"Tomova et al., 2017","Tomova et al., 2017",exact_match,27798249,Tomova,2017,Increased neural responses to empathy for pain might explain how acute stress increases prosociality.,1,1
