meta_pmid,study_pmid,status,final_status,corrected_status,reason,SourceSheet,posthoc_status,posthoc_reason,title,year,author
36436737,16759672,YES,YES,YES,,,,,Spontaneous retrieval of affective person knowledge in face perception.,2007,Todorov
36436737,17055981,YES,NO,NO,ROI,,NO,Only ROI data is shown,Cortical responses to invisible faces: dissociating subsystems for facial-information processing.,2006,Jiang
36436737,17071110,YES,YES,YES,,YES,,,Evidence for a different role of the ventral and dorsal medial prefrontal cortex for social reactive aggression: An interactive fMRI study.,2007,Lotze
36436737,17100784,YES,NO,YES,NoCoordiantes,YES,,,Dehumanizing the lowest of the low: neuroimaging responses to extreme out-groups.,2006,Harris
36436737,17404215,YES,YES,YES,,YES,,,Social concepts are represented in the superior anterior temporal cortex.,2007,Zahn
36436737,17408704,YES,YES,YES,,YES,,,Amygdala activation and facial expressions: explicit emotion discrimination versus implicit emotion processing.,2007,Habel
36436737,17499173,NO,NO,NO,Non-Human,Non-Human,,,Beyond grasping: representation of action in human anterior intraparietal sulcus.,2007,Tunik
36436737,17536964,YES,NO,YES,Only PDF,YES,,,Distinct regions of the medial prefrontal cortex are associated with self-referential processing and perspective taking.,2007,D'Argembeau
36436737,17627852,YES,YES,YES,,YES,,,Cortical mechanism of communicative speech production.,2007,Sassa
36436737,17964185,NO,YES,YES,NotHealthy,YES,,,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,2008,Güroğlu
36436737,17986835,YES,YES,YES,,YES,,,Cerebral differences in explicit and implicit emotional processing--an fMRI study.,2007,Scheuerecker
36436737,18082427,NO,NO,NO,Non-Adults,,,,Mirroring others' emotions relates to empathy and interpersonal competence in children.,2008,Pfeifer
36436737,18234518,YES,NO,NO,Atypical,YES,NO,"Main whole-brain analyses are not reported, only timecourses in ROIs",Cognitive control in social situations: a role for the dorsolateral prefrontal cortex.,2008,Weissman
36436737,18313858,,YES,YES,,,,,Valuating other people's emotional face expression: a combined functional magnetic resonance imaging and electroencephalography study.,2008,Seitz
36436737,18370602,YES,YES,YES,,,,,Mirror neuron system differentially activated by facial expressions and social hand gestures: a functional magnetic resonance imaging study.,2008,Montgomery
36436737,18375769,NO,NO,NO,Non-Human,Non-Human,,,Perception of emotional expressions is independent of face selectivity in monkey inferior temporal cortex.,2008,Hadj-Bouziane
36436737,18431500,YES,NO,YES,,YES,,,Cooperation and deception recruit different subsets of the theory-of-mind network.,2008,Lissek
36436737,18439411,YES,YES,YES,,YES,,,Know your place: neural processing of social hierarchy in humans.,2008,Zink
36436737,18486489,YES,NO,YES,,YES,,,"Self, mother and abstract other: an fMRI study of reflective social processing.",2008,Vanderwal
36436737,18486491,NO,YES,YES,???,,,,Social cognitive neural networks during in-group and out-group interactions.,2008,Rilling
36436737,18501639,YES,YES,YES,,YES,,,Face-specific and domain-general characteristics of cortical responses during self-recognition.,2008,Sugiura
36436737,18514546,YES,YES,YES,,YES,,,Gender differences in brain networks supporting empathy.,2008,Schulte-Rüther
36436737,18537114,YES,YES,YES,,YES,,,Frontal operculum temporal difference signals and social motor response learning.,2009,Kumar
36436737,18573266,NO,NO,NO,Non-Adults,Non-Adults,,,Who caused the pain? An fMRI investigation of empathy and intentionality in children.,2008,Decety
36436737,18585742,YES,YES,YES,,YES,,,The posterior superior temporal sulcus is involved in social communication not specific for the eyes.,2008,Materna
36436737,18586108,NO,NO,NO,NotHealthy,YES,,,Your hand or mine? The extrastriate body area.,2008,Myers
36436737,18603608,NO,YES,YES,NotHealthy,YES,,,Understanding the intentions behind man-made products elicits neural activity in areas dedicated to mental state attribution.,2009,Steinbeis
36436737,18633788,YES,YES,YES,,YES,,,"Theory of mind broad and narrow: reasoning about social exchange engages ToM areas, precautionary reasoning does not.",2006,Ermer
36436737,18633834,YES,YES,YES,,,,,Listening to humans walking together activates the social brain circuitry.,2008,Saarela
36436737,18633845,YES,NO,YES,,,,,What's in a smile? Neural correlates of facial embodiment during social interaction.,2008,Schilbach
36436737,18633846,YES,YES,YES,,YES,,,Observing social interactions: the effect of gaze.,2008,Pierno
36436737,18633856,YES,YES,YES,,YES,,,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,2008,Carter
36436737,18783371,YES,YES,YES,,YES,,,Through the looking glass: counter-mirror activation following incompatible sensorimotor learning.,2008,Catmur
36436737,18985118,YES,YES,YES,,YES,,,Social groups that elicit disgust are differentially processed in mPFC.,2007,Harris
36436737,18985119,YES,YES,YES,,YES,,,Social interaction modifies neural response to gaze shifts.,2007,Bristow
36436737,19015088,NO,YES,YES,NotHealthy,YES,,,Mapping social target detection with functional magnetic resonance imaging.,2009,Dichter
36436737,19048432,YES,YES,YES,,YES,,,Dynamic pupillary exchange engages brain regions encoding social salience.,2009,Harrison
36436737,19048446,NO,NO,NO,Non-Adults,Non-Adults,,,Developmental frontal lobe imaging in moral judgment: Arthur Benton's enduring influence 60 years later.,2009,Eslinger
36436737,19107754,NO,YES,YES,NotHealthy,YES,,,Neural basis of individualistic and collectivistic views of self.,2009,Chiao
36436737,19136216,YES,YES,YES,,YES,NO,Not Whole Brain,Amygdala activity to fear and anger in healthy young males is associated with testosterone.,2009,Derntl
36436737,19199417,,YES,YES,,YES,,,How do we empathize with someone who is not like us? A functional magnetic resonance imaging study.,2010,Lamm
36436737,19199419,YES,NO,YES,,YES,,,Cross-cultural reading the mind in the eyes: an fMRI investigation.,2010,Adams
36436737,19304843,YES,YES,YES,,YES,,,What motivates repayment? Neural correlates of reciprocity in the Trust Game.,2009,van den Bos
36436737,19347874,YES,YES,YES,,YES,,,Attachment avoidance modulates neural response to masked facial emotion.,2009,Suslow
36436737,19384602,YES,NO,NO,NotHealthy,,YES,Subjects are healthy ,Audiovisual non-verbal dynamic faces elicit converging fMRI and ERP responses.,2009,Brefczynski-Lewis
36436737,19439183,YES,YES,YES,,,,,Social context and perceived agency affects empathy for pain: an event-related fMRI investigation.,2009,Akitsuki
36436737,19596021,YES,NO,NO,Atypical,YES,,,Cerebral representation of non-verbal emotional perception: fMRI reveals audiovisual integration area between voice- and face-sensitive regions in the superior temporal sulcus.,2009,Kreifelts
36436737,19630890,NO,NO,NO,Non-Adults,Non-Adults,,,Probing the neural correlates of anticipated peer evaluation in adolescence.,2009,Guyer
36436737,19630891,NO,NO,NO,Age,YES,YES,Adult only data is reported,Neural correlates of direct and reflected self-appraisals in adolescents and adults: when social perspective-taking informs self-perception.,2009,Pfeifer
36436737,19733672,YES,YES,YES,,,,,Neural correlates of social cognition in naturalistic settings: a model-free analysis approach.,2010,Wolf
36436737,19739909,NO,NO,NO,Non-Adults,Non-Adults,NO,No young only results reported,Aging minds and twisting attitudes: an fMRI investigation of age differences in inhibiting prejudice.,2009,Krendl
36436737,19944083,YES,YES,YES,,,,,Emotional and cognitive aspects of empathy and their relation to social cognition--an fMRI-study.,2010,Krämer
36436737,20045478,YES,YES,YES,,YES,,,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,2010,Benoit
36436737,20056152,YES,YES,YES,,,,,Brain mechanisms for representing what another person sees.,2010,Heyda
36436737,20071521,YES,YES,YES,,YES,,,Value computations in ventral medial prefrontal cortex during charitable decision making incorporate input from regions involved in social cognition.,2010,Hare
36436737,20096792,YES,YES,YES,,,,,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,2010,Redcay
36436737,20098696,YES,NO,YES,No Coordinates,YES,,,Common premotor regions for the perception and production of prosody and correlations with empathy and prosodic ability.,2010,Aziz-Zadeh
36436737,20119878,YES,YES,YES,,,,,Neural regions that underlie reinforcement learning are also active for social expectancy violations.,2010,Harris
36436737,20188182,YES,YES,YES,,YES,,,Love hurts: an fMRI study.,2010,Cheng
36436737,20188190,YES,YES,YES,,,,,'Do I like this person?' A network analysis of midline cortex during a social preference task.,2010,Chen
36436737,20350167,NO,NO,NO,NotOriginal,YES,,,The role of the human prefrontal cortex in social cognition and moral judgment.,2010,Forbes
36436737,20350171,YES,YES,YES,,YES,,,Beyond the memory mechanism: person-selective and nonselective processes in recognition of personally familiar faces.,2011,Sugiura
36436737,20350187,,YES,YES,,,,,From agents to objects: sexist attitudes and neural responses to sexualized targets.,2011,Cikara
36436737,20401807,NO,NO,NO,NotHealthy,,,,Resisting motor mimicry: control of imitation involves processes central to social cognition in patients with frontal and temporo-parietal lesions.,2010,Spengler
36436737,20439736,YES,NO,NO,Atypical,,NO,"Atypical analysis - Granger causality is not the main task evoked effect. Although there are some whole-brain GLM results, they are not the critical contrast",Mapping the information flow from one brain to another during gestural communication.,2010,Schippers
36436737,20460301,YES,NO,NO,ROI,YES,,,"Stop looking angry and smile, please: start and stop of the very same facial expression differentially activate threat- and reward-related brain networks.",2011,Mühlberger
36436737,20534459,YES,YES,YES,,YES,,,Neural correlates of anchoring-and-adjustment during mentalizing.,2010,Tamir
36436737,20695655,NO,NO,NO,Non-Human,Non-Human,,,A comparative view of face perception.,2010,Leopold
36436737,20705602,YES,YES,YES,,YES,,,Eyes on me: an fMRI study of the effects of social gaze on action control.,2011,Schilbach
36436737,20923708,NO,NO,NO,Age,YES,NO,Main adult effects are not separately reported,Developmental influences on the neural bases of responses to social rejection: implications of social neuroscience for education.,2011,Sebastian
36436737,20943931,YES,NO,YES,No Coordinates,,,,Clan mentality: evidence that the medial prefrontal cortex responds to close others.,2010,Krienen
36436737,20977559,NO,NO,NO,Age,YES,,,Neurodevelopmental changes in the circuits underlying empathy and sympathy from childhood to adulthood.,2010,Decety
36436737,21036192,NO,NO,NO,Non-Adults,Non-Adults,,,The social brain in adolescence: evidence from functional magnetic resonance imaging and behavioural studies.,2011,Burnett
36436737,21164174,NO,NO,NO,Non-Adults,Non-Adults,,,"Changing brains, changing perspectives: the neurocognitive development of reciprocity.",2011,van den Bos
36436737,21172325,YES,NO,NO,Atypical,YES,,,I remember you: a role for memory in social cognition and the functional neuroanatomy of their interaction.,2012,Spreng
36436737,21206532,YES,YES,YES,,YES,,,Individuating faces and common objects produces equal responses in putative face-processing areas in the ventral occipitotemporal cortex.,2010,Haist
36436737,21249224,YES,YES,YES,,YES,,,Recruitment of both the mirror and the mentalizing networks when observing social interactions depicted by point-lights: a neuroimaging study.,2011,Centelles
36436737,21278194,NO,NO,NO,Non-Adults,Non-Adults,,,Development of the action observation network during early adolescence: a longitudinal study.,2012,Shaw
36436737,21320516,YES,YES,YES,,YES,,,Gender differences in the neural correlates of humor processing: implications for different processing modes.,2011,Kohn
36436737,21569855,YES,YES,YES,,YES,,,An fMRI study of violations of social expectations: when people are not who we expect them to be.,2011,Cloutier
36436737,21600991,YES,YES,YES,,YES,,,The representation of social interaction in episodic memory: a functional MRI study.,2011,Mano
36436737,21606658,YES,YES,YES,,YES,,,The role of the right hemisphere for processing of social interactions in normal adults using functional magnetic resonance imaging.,2011,Semrud-Clikeman
36436737,21664277,,YES,YES,,YES,,,Higher or lower? The functional anatomy of perceived allocentric social hierarchies.,2011,Farrow
36436737,21703352,NO,YES,YES,NotHealthy,YES,,,Neural regions associated with self control and mentalizing are recruited during prosocial behaviors towards the family.,2011,Telzer
36436737,21723130,NO,NO,NO,Non-Adults,Non-Adults,,,Early specialization for voice and emotion processing in the infant brain.,2011,Blasi
36436737,21761508,YES,NO,YES,NoCoordinates,YES,,,Functional dissociation of the left and right fusiform gyrus in self-face recognition.,2012,Ma
36436737,21775952,NO,NO,NO,NotHealthy,YES,NO,Not a real original study,Brain imaging investigation of the neural correlates of observing virtual social interactions.,2011,Sung
36436737,21812564,NO,NO,NO,Non-Adults,Non-Adults,,,Development of functional connectivity during adolescence: a longitudinal study using an action-observation paradigm.,2011,Shaw
36436737,21849560,YES,YES,YES,,YES,,,The control of mimicry by eye contact is mediated by medial prefrontal cortex.,2011,Wang
36436737,21862446,YES,YES,YES,,YES,NO,Technically not whole brain,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,2012,Hughes
36436737,21864459,,YES,YES,,,,,Cerebral correlates and statistical criteria of cross-modal face and voice integration.,2011,Love
36436737,21908447,YES,YES,YES,,,,,Dissociable neural correlates of stereotypes and other forms of semantic knowledge.,2012,Contreras
36436737,21940454,YES,YES,YES,,YES,,,Supramodal representation of emotions.,2011,Klasen
36436737,21955370,YES,YES,YES,,YES,,,An fMRI study of the social competition in healthy subjects.,2011,Polosan
36436737,21981758,YES,NO,YES,,YES,,,Differential brain responses to social exclusion by one's own versus opposite-gender peers.,2012,Bolling
36436737,22003388,YES,NO,NO,"ROI, Atypical",YES,,,Predicting decisions in human social interactions using real-time fMRI and pattern classification.,2011,Hollmann
36436737,22019860,YES,YES,YES,,YES,,,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,2012,Sokolov
36436737,22038344,NO,NO,NO,Non-Adults,Non-Adults,,,"""Better the devil you know"": a preliminary study of the differential modulating effects of reputation on reward processing for boys with and without externalizing behavior problems.",2011,Sharp
36436737,22125232,YES,YES,YES,,YES,,,Brain mechanisms for processing affective touch.,2013,Gordon
36436737,22174872,YES,YES,YES,,YES,,,The neural correlates of emotional prosody comprehension: disentangling simple from complex emotion.,2011,Alba-Ferrara
36436737,22257745,NO,NO,NO,Non-Adults,Non-Adults,,,Rebelling against the brain: public engagement with the 'neurological adolescent'.,2012,Choudhury
36436737,22290781,YES,NO,YES,,YES,,,Seeing is believing: neural mechanisms of action-perception are biased by team membership.,2013,Molenberghs
36436737,22308468,NO,NO,NO,,,YES,,Evidence for social working memory from a parametric functional MRI study.,2012,Meyer
36436737,22349798,YES,YES,YES,,YES,,,Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL.,2013,Janowski
36436737,22360624,YES,YES,YES,,YES,,,The superior temporal sulcus differentiates communicative and noncommunicative auditory signals.,2012,Shultz
36436737,22371086,YES,NO,NO,Age,YES,NO,Young control results are not reported independently of older group,Age-related neural differences in affiliation and isolation.,2012,Beadle
36436737,22403154,YES,NO,YES,,YES,,,Neuroimaging self-esteem: a fMRI study of individual differences in women.,2013,Frewen
36436737,22434810,NO,NO,NO,Non-Adults,Non-Adults,,,Development of the social brain in adolescence.,2012,Blakemore
36436737,22439896,NO,NO,NO,Non-Adults,Non-Adults,NO,Control young subjects results is not reported separately,Age-related changes to the neural correlates of social evaluation.,2012,Cassidy
36436737,22490923,YES,NO,YES,,YES,,,The neural dynamics of updating person impressions.,2013,Mende-Siedlecki
36436737,22507230,YES,NO,NO,Not Social,,YES,"By definition on meta-analysis, it is a social task",Disentangling the brain networks supporting affective speech comprehension.,2012,Hervé
36436737,22507699,NO,NO,NO,NotOriginal,YES,,,Imaging models of valuation during social interaction in humans.,2012,Kishida
36436737,22563005,NO,YES,YES,NotHealthy,YES,,,Familiarity promotes the blurring of self and other in the neural representation of threat.,2013,Beckes
36436737,22563008,NO,NO,NO,Non-Adults,Non-Adults,NO,Only developmental (age-related) effects are shown,Differential neurobiological effects of expert advice on risky choice in adolescents and adults.,2012,Engelmann
36436737,22623534,YES,NO,NO,Atypical,YES,NO,Atypical analysis - not main task evoked effect,Emotions promote social interaction by synchronizing brain activity across individuals.,2012,Nummenmaa
36436737,22661409,YES,YES,YES,,,,,Functional neural plasticity and associated changes in positive affect after compassion training.,2013,Klimecki
36436737,22726841,YES,YES,YES,,YES,,,Learning to simulate others' decisions.,2012,Suzuki
36436737,22841755,YES,YES,YES,,YES,,,Neural correlates of social motivation: an fMRI study on power versus affiliation.,2013,Quirin
36436737,22848759,YES,YES,YES,,YES,,,The neural bases of social intention understanding: the role of interaction goals.,2012,Canessa
36436737,22905026,YES,NO,YES,,YES,,,Naturalistic FMRI mapping reveals superior temporal sulcus as the hub for the distributed brain network for social perception.,2012,Lahnakoski
36436737,22909094,NO,NO,NO,Non-Adults,Non-Adults,,,Normal aging modulates prefrontoparietal networks underlying multiple memory processes.,2012,Sambataro
36436737,22956840,YES,YES,YES,,YES,,,A neural signature of affiliative emotion in the human septohypothalamic area.,2012,Moll
36436737,22982277,NO,NO,NO,Non-Adults,Non-Adults,YES,"Whole brain is shown, for adult group",The missing link: mothers' neural response to infant cry related to infant attachment behaviors.,2012,Laurent
36436737,23063451,YES,YES,YES,,YES,,,Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: an fMRI study.,2013,van der Heiden
36436737,23110882,YES,NO,YES,,YES,,,fMRI reveals reciprocal inhibition between social and physical cognitive domains.,2013,Jack
36436737,23142071,NO,NO,NO,Non-Human,Non-Human,YES,Non-human but have human only results,Dissimilar processing of emotional facial expressions in human and monkey temporal cortex.,2013,Zhu
36436737,23149446,NO,NO,NO,Non-Adults,Non-Adults,,,Maternal interpersonal affiliation is associated with adolescents' brain structure and reward processing.,2012,Schneider
36436737,23221019,NO,YES,YES,NotHealthy,YES,,,The busy social brain: evidence for automaticity and control in the neural systems supporting social cognition and action understanding.,2013,Spunt
36436737,23249349,NO,YES,YES,NotHealthy,YES,,,Seeing it my way or your way: frontoparietal brain areas sustain viewpoint-independent perspective selection processes.,2013,Ramsey
36436737,23251653,YES,NO,YES,,YES,,,FMRI evidence of 'mirror' responses to geometric shapes.,2012,Press
36436737,23267322,YES,NO,NO,ROI,YES,NO,Whole brain data is not reported,Interaction vs. observation: distinctive modes of social cognition in human brain and behavior? A combined fMRI and eye-tracking study.,2012,Tylén
36436737,23298748,YES,YES,YES,,YES,,,Working memory for social information: chunking or domain-specific buffer?,2013,Thornton
36436737,23327932,YES,YES,YES,,YES,,,Reminders of mortality decrease midcingulate activity in response to others' suffering.,2014,Luo
36436737,23378834,YES,YES,YES,Also includes a meta-analysis in the paper,YES,,,Anterior temporal face patches: a meta-analysis and empirical study.,2013,Von Der Heide
36436737,23435496,NO,YES,YES,NotHealthy,YES,,,Gender-selective neural populations: evidence from event-related fMRI repetition suppression.,2013,Podrebarac
36436737,23460073,YES,YES,YES,,YES,,,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,2014,Koban
36436737,23482624,YES,YES,YES,,YES,,,From mind to matter: neural correlates of abstract and concrete mindsets.,2014,Gilead
36436737,23508477,NO,YES,YES,NotHealthy,YES,,,The neural correlates of beauty comparison.,2014,Kedia
36436737,23528247,YES,NO,NO,Atypical,YES,,,Decoding the representation of learned social roles in the human brain.,2013,Eger
36436737,23574585,YES,YES,YES,,YES,,,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,2013,Contreras
36436737,23599165,YES,YES,YES,,YES,,,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,2014,Cooper
36436737,23620602,YES,YES,YES,,YES,,,Do you mean me? Communicative intentions recruit the mirror and the mentalizing system.,2014,Ciaramidaro
36436737,23639347,NO,NO,NO,Non-Adults,Non-Adults,YES,Scanning was done when participant were adults,Childhood maternal support and social capital moderate the regulatory impact of social relationships in adulthood.,2013,Coan
36436737,23667619,YES,YES,YES,,YES,,,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,2013,Wildgruber
36436737,23684882,YES,YES,YES,,YES,,,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,2013,Mainieri
36436737,23696200,YES,YES,YES,,YES,,,Compassion training alters altruism and neural responses to suffering.,2013,Weng
36436737,23720575,YES,YES,YES,,YES,,,Reward-related neural responses are dependent on the beneficiary.,2014,Braams
36436737,23722983,YES,YES,YES,,YES,,,Creating buzz: the neural correlates of effective message propagation.,2013,Falk
36436737,23740868,YES,YES,YES,,YES,,,"The neural correlates of 'vitality form' recognition: an fMRI study: this work is dedicated to Daniel Stern, whose immeasurable contribution to science has inspired our research.",2014,Di Cesare
36436737,23770622,YES,NO,YES,,YES,,,Cognitive and affective theory of mind share the same local patterns of activity in posterior temporal but not medial prefrontal cortex.,2014,Corradi-Dell'Acqua
36436737,23804962,NO,NO,NO,Non-Adults,,,,The medial prefrontal cortex and the emergence of self-conscious emotion in adolescence.,2013,Somerville
36436737,23813661,YES,YES,YES,,YES,,,Perceiving nonverbal behavior: neural correlates of processing movement fluency and contingency in dyadic interactions.,2014,Georgescu
36436737,23850465,NO,NO,NO,NotHealthy,YES,YES,"Not explicitly healthy, but inferred",Outcome dependency alters the neural substrates of impression formation.,2013,Ames
36436737,23876243,YES,YES,YES,,,,,Sex differences in the development of brain mechanisms for processing biological motion.,2013,Anderson
36436737,23887806,YES,NO,YES,,YES,,,From social-signal detection to higher social cognition: an fMRI approach.,2014,Sugiura
36436737,23887810,YES,YES,YES,,YES,,,An fMRI investigation of the effects of belief in free will on third-party punishment.,2014,Krueger
36436737,23911672,YES,NO,YES,NotSocial?,YES,,,Superior temporal sulcus and social cognition in dangerous drivers.,2013,Zelinková
36436737,23917500,NO,NO,NO,,,,,[Social decision-making and theoretical neuroscience: prospects for human sciences and computational psychiatry].,2013,Nakahara
36436737,23948645,YES,NO,NO,Age,YES,,,The functional architecture for face-processing expertise: FMRI evidence of the developmental trajectory of the core and the extended face systems.,2013,Haist
36436737,23988759,NO,YES,YES,NotHealthy,YES,,,A neuroimaging investigation of attribute framing and individual differences.,2014,Murch
36436737,24036130,NO,NO,NO,Non-Human,Non-Human,,,Investigation of musicality in birdsong.,2014,Rothenberg
36436737,24051621,YES,YES,YES,,,,,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,2013,Toki
36436737,24068815,YES,YES,YES,,,,,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,2013,Silani
36436737,24084068,YES,YES,YES,,YES,,,Revealing the neural networks associated with processing of natural social interaction and the related effects of actor-orientation and face-visibility.,2014,Saggar
36436737,24089495,YES,NO,YES,,YES,,,Imaging social motivation: distinct brain mechanisms drive effort production during collaboration versus competition.,2013,Le Bouc
36436737,24097375,YES,YES,YES,,YES,,,Rough primes and rough conversations: evidence for a modality-specific basis to mental metaphors.,2014,Schaefer
36436737,24106333,YES,NO,NO,Atypical,YES,,,Individual differences in posterior cortical volume correlate with proneness to pride and gratitude.,2014,Zahn
36436737,24144548,YES,NO,YES,,YES,,,Interindividual synchronization of brain activity during live verbal communication.,2014,Spiegelhalder
36436737,24243619,YES,YES,YES,,YES,,,Neural correlates of explicit social judgments on vocal stimuli.,2015,Hensel
36436737,24265613,YES,NO,NO,Atypical,YES,NO,"Atypical analysis, not main task evoked effect",Connecting multimodality in human communication.,2013,Regenbogen
36436737,24294841,YES,YES,YES,,YES,,,"Empathy, ToM, and self-other differentiation: an fMRI study of internal states.",2014,Reniers
36436737,24294906,YES,YES,YES,,YES,,,Establishing cooperation in a mixed-motive social dilemma. An fMRI study investigating the role of social value orientation and dispositional trust.,2014,Emonds
36436737,24341069,NO,NO,NO,NoCoordiantes,,,,[Social neuroscience and psychiatry].,2013,Takahashi
36436737,24381271,NO,NO,NO,Non-Human,Non-Human,,,Heterogeneous single-unit selectivity in an fMRI-defined body-selective patch.,2014,Popivanov
36436737,24412433,NO,NO,NO,"Age, NotHealthy",YES,NO,Control participants are older,When a loved one feels unfamiliar: a case study on the neural basis of Capgras delusion.,2014,Thiel
36436737,24412687,YES,NO,NO,Non-Adults,YES,NO,Adult group results not reported,Developmental changes of neuronal networks associated with strategic social decision-making.,2014,Steinmann
36436737,24414614,YES,YES,YES,,YES,,,Mirror Neuron System and Mentalizing System connect during online social interaction.,2014,Sperduti
36436737,24447026,YES,NO,NO,Atypical,YES,,,Functional parcellation of the human primary somatosensory cortex to natural touch.,2014,Malinen
36436737,24462962,YES,YES,YES,,YES,,,Social cognition and neural substrates of face perception: implications for neurodevelopmental and neuropsychiatric disorders.,2014,Lazar
36436737,24478377,NO,NO,NO,NotHealthy,YES,YES,Healthy not explicit but true,"A common cortical metric for spatial, temporal, and social distance.",2014,Parkinson
36436737,24493846,NO,NO,NO,ROI,YES,,,The social network-network: size is predicted by brain structure and function in the amygdala and paralimbic regions.,2014,Von Der Heide
36436737,24582805,YES,YES,YES,,YES,,,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,2014,Jankowski
36436737,24583253,YES,YES,YES,,YES,,,The neural basis of the bystander effect--the influence of group size on neural activity when witnessing an emergency.,2014,Hortensius
36436737,24607363,NO,NO,NO,Non-Human,Non-Human,,,Scent of the familiar: an fMRI study of canine brain responses to familiar and unfamiliar human and dog odors.,2015,Berns
36436737,24633532,YES,YES,YES,,YES,,,"Neural correlates of attributing causes to the self, another person and the situation.",2015,Kestemont
36436737,24639542,YES,YES,YES,,YES,,,Attributing awareness to oneself and to others.,2014,Kelly
36436737,24652858,YES,YES,YES,,YES,,,Acting on social exclusion: neural correlates of punishment and forgiveness of excluders.,2015,Will
36436737,24666131,YES,YES,YES,,YES,,,Reach out and touch someone: anticipatory sensorimotor processes of active interpersonal touch.,2014,Ebisch
36436737,24700584,YES,YES,YES,,YES,,,Reflections of Oneself: Neurocognitive Evidence for Dissociable Forms of Self-Referential Recollection.,2015,Bergström
