meta_pmid,study_pmid,title,year,author
36436737,22563005,Familiarity promotes the blurring of self and other in the neural representation of threat.,2013,Beckes
36436737,22661409,Functional neural plasticity and associated changes in positive affect after compassion training.,2013,Klimecki
36436737,22726841,Learning to simulate others' decisions.,2012,Suzuki
36436737,22841755,Neural correlates of social motivation: an fMRI study on power versus affiliation.,2013,Quirin
36436737,22848759,The neural bases of social intention understanding: the role of interaction goals.,2012,Canessa
36436737,22956840,A neural signature of affiliative emotion in the human septohypothalamic area.,2012,Moll
36436737,23063451,Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: an fMRI study.,2013,van der Heiden
36436737,23221019,The busy social brain: evidence for automaticity and control in the neural systems supporting social cognition and action understanding.,2013,Spunt
36436737,23249349,Seeing it my way or your way: frontoparietal brain areas sustain viewpoint-independent perspective selection processes.,2013,Ramsey
36436737,23298748,Working memory for social information: chunking or domain-specific buffer?,2013,Thornton
36436737,23327932,Reminders of mortality decrease midcingulate activity in response to others' suffering.,2014,Luo
36436737,23378834,Anterior temporal face patches: a meta-analysis and empirical study.,2013,Von Der Heide
36436737,23435496,Gender-selective neural populations: evidence from event-related fMRI repetition suppression.,2013,Podrebarac
36436737,23460073,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,2014,Koban
36436737,23482624,From mind to matter: neural correlates of abstract and concrete mindsets.,2014,Gilead
36436737,23508477,The neural correlates of beauty comparison.,2014,Kedia
36436737,23574585,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,2013,Contreras
36436737,23599165,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,2014,Cooper
36436737,23620602,Do you mean me? Communicative intentions recruit the mirror and the mentalizing system.,2014,Ciaramidaro
36436737,23667619,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,2013,Wildgruber
36436737,23684882,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,2013,Mainieri
36436737,23696200,Compassion training alters altruism and neural responses to suffering.,2013,Weng
36436737,23720575,Reward-related neural responses are dependent on the beneficiary.,2014,Braams
36436737,23722983,Creating buzz: the neural correlates of effective message propagation.,2013,Falk
36436737,23740868,"The neural correlates of 'vitality form' recognition: an fMRI study: this work is dedicated to Daniel Stern, whose immeasurable contribution to science has inspired our research.",2014,Di Cesare
36436737,23813661,Perceiving nonverbal behavior: neural correlates of processing movement fluency and contingency in dyadic interactions.,2014,Georgescu
36436737,23876243,Sex differences in the development of brain mechanisms for processing biological motion.,2013,Anderson
36436737,23887810,An fMRI investigation of the effects of belief in free will on third-party punishment.,2014,Krueger
36436737,23988759,A neuroimaging investigation of attribute framing and individual differences.,2014,Murch
36436737,24051621,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,2013,Toki
36436737,24068815,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,2013,Silani
36436737,24084068,Revealing the neural networks associated with processing of natural social interaction and the related effects of actor-orientation and face-visibility.,2014,Saggar
36436737,24097375,Rough primes and rough conversations: evidence for a modality-specific basis to mental metaphors.,2014,Schaefer
36436737,24243619,Neural correlates of explicit social judgments on vocal stimuli.,2015,Hensel
36436737,24294841,"Empathy, ToM, and self-other differentiation: an fMRI study of internal states.",2014,Reniers
36436737,24294906,Establishing cooperation in a mixed-motive social dilemma. An fMRI study investigating the role of social value orientation and dispositional trust.,2014,Emonds
36436737,24414614,Mirror Neuron System and Mentalizing System connect during online social interaction.,2014,Sperduti
36436737,24462962,Social cognition and neural substrates of face perception: implications for neurodevelopmental and neuropsychiatric disorders.,2014,Lazar
36436737,24582805,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,2014,Jankowski
36436737,24583253,The neural basis of the bystander effect--the influence of group size on neural activity when witnessing an emergency.,2014,Hortensius
36436737,24633532,"Neural correlates of attributing causes to the self, another person and the situation.",2015,Kestemont
36436737,24639542,Attributing awareness to oneself and to others.,2014,Kelly
36436737,24652858,Acting on social exclusion: neural correlates of punishment and forgiveness of excluders.,2015,Will
36436737,24666131,Reach out and touch someone: anticipatory sensorimotor processes of active interpersonal touch.,2014,Ebisch
36436737,24700584,Reflections of Oneself: Neurocognitive Evidence for Dissociable Forms of Self-Referential Recollection.,2015,Bergström
36436737,24726338,Reduced self-referential neural response during intergroup competition predicts competitor harm.,2014,Cikara
36436737,24772075,Cultural influences on social feedback processing of character traits.,2014,Korn
36436737,24814646,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,2014,Fehr
36436737,24824165,Look at those two!: The precuneus role in unattended third-person perspective of social interactions.,2014,Petrini
36436737,24825504,Imagining triadic interactions simultaneously activates mirror and mentalizing systems.,2014,Trapp
36436737,24834034,Money talks: neural substrate of modulation of fairness by monetary incentives.,2014,Zhou
36436737,24842782,Orbitofrontal Cortex Reactivity to Angry Facial Expression in a Social Interaction Correlates with Aggressive Behavior.,2015,Beyer
36436737,24936688,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,2014,Cloutier
36436737,25042446,Implicit false-belief processing in the human brain.,2014,Schneider
36436737,25088911,You are in sync with me: neural correlates of interpersonal synchrony with a partner.,2014,Cacioppo
36436737,25118071,An evaluation of traffic-awareness campaign videos: empathy induction is associated with brain function within superior temporal sulcus.,2014,Zelinková
36436737,25281889,Alexithymic features and the labeling of brief emotional facial expressions - An fMRI study.,2014,Ihme
36436737,25298009,Beautiful friendship: Social sharing of emotions improves subjective feelings and activates the neural reward circuitry.,2015,Wagner
36436737,25315788,Social gating of sensory information during ongoing communication.,2015,Anders
36436737,25534111,A frontotemporoparietal network common to initiating and responding to joint attention bids.,2015,Caruana
36436737,25640962,Feeling addressed! The role of body orientation and co-speech gesture in social communication.,2015,Nagels
36436737,25697049,The neural basis of perceiving person interactions.,2015,Quadflieg
36436737,25716010,From personal fear to mass panic: The neurological basis of crowd perception.,2015,Huis In 't Veld
36436737,25729358,The neural basis of deception in strategic interactions.,2015,Volz
36436737,25911123,Folk explanations of behavior: a specialized use of a domain-general mechanism.,2015,Spunt
36436737,25929599,Distinct neural processes are engaged in the modulation of mimicry by social group-membership and emotional expressions.,2015,Rauchbauer
36436737,25944965,Gender-specific modulation of neural mechanisms underlying social reward processing by Autism Quotient.,2015,Barman
36436737,25996424,(How) observed eye-contact modulates gaze following. An fMRI study.,2016,Böckler
36436737,26117505,The neural basis of conceptualizing the same action at different levels of abstraction.,2016,Spunt
36436737,26143208,Temporal unpredictability of a stimulus sequence and the processing of neutral and emotional stimuli.,2015,Koppe
36436737,26168793,The neural basis of the imitation drive.,2016,Hanawa
36436737,26206505,Individual differences in response of dorsomedial prefrontal cortex predict daily social behavior.,2016,Powers
36436737,26235682,Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation.,2016,Kawasaki
36436737,26254589,Dissecting the social brain: Introducing the EmpaToM to reveal distinct neural networks and brain-behavior relations for empathy and Theory of Mind.,2015,Kanske
36436737,26262561,The attracting power of the gaze of politicians is modulated by the personality and ideological attitude of their voters: a functional magnetic resonance imaging study.,2015,Cazzato
36436737,26301900,Is the Medial Prefrontal Cortex Necessary for Theory of Mind?,2015,Otti
36436737,26323252,How pain empathy depends on ingroup/outgroup decisions: A functional magnet resonance imaging study.,2015,Ruckmann
36436737,26337369,Personality traits predict brain activation and connectivity when witnessing a violent conflict.,2015,Van den Stock
36436737,26342221,Reading fiction and reading minds: the role of simulation in the default network.,2016,Tamir
36436737,26365506,Common and distinct networks for self-referential and social stimulus processing in the human brain.,2016,Herold
36436737,26385612,Genetic and neural correlates of romantic relationship satisfaction.,2016,Luo
36436737,26417673,Neural basis of disgust perception in racial prejudice.,2015,Liu
36436737,26481048,Common and distinct neural mechanisms of the fundamental dimensions of social cognition.,2016,Han
36436737,26505303,Brain basis of communicative actions in language.,2016,Egorova
36436737,26567160,Trying to trust: Brain activity during interpersonal social attitude change.,2016,Filkowski
36436737,26598684,Neural mechanisms tracking popularity in real-world social networks.,2015,Zerubavel
36436737,26604273,The Temporal Pole Top-Down Modulates the Ventral Visual Stream During Social Cognition.,2017,Pehrs
36436737,26608245,Interaction matters: A perceived social partner alters the neural processing of human speech.,2016,Rice
36436737,26656563,Getting to know you: general and specific neural computations for learning about people.,2016,Stanley
36436737,26746179,'Imagined guilt' vs 'recollected guilt': implications for fMRI.,2016,Mclatchie
36436737,26803059,Stimulus-dependent amygdala involvement in affective theory of mind generation.,2016,Schmitgen
36436737,26812250,Effects of empathic social responses on the emotions of the recipient.,2016,Seehausen
36436737,26892859,"Criticism hurts everybody, praise only some: Common and specific neural responses to approving and disapproving social-evaluative videos.",2016,Miedl
36436737,26908320,Dynamic neural mechanisms underlie race disparities in social cognition.,2016,Cassidy
36436737,26920683,Linking person perception and person knowledge in the human brain.,2016,Greven
36436737,26969865,Theory of mind for processing unexpected events across contexts.,2016,Dungan
36436737,27007121,Contributions of self-report and performance-based individual differences measures of social cognitive ability to large-scale neural network functioning.,2017,Smith
36436737,27039141,Trails of meaning construction: Symbolic artifacts engage the social brain.,2016,Tylén
36436737,27090501,Increased frequency of social interaction is associated with enjoyment enhancement and reward system activation.,2016,Kawamichi
36436737,27095057,How do you make me feel better? Social cognitive emotion regulation and the default mode network.,2016,Xie
36436737,27096431,The Role of the Insular Cortex in Retaliation.,2016,Emmerling
36436737,27165762,Distinct neural patterns of social cognition for cooperation versus competition.,2016,Tsoi
36436737,27217118,Neural dissociations between meaningful and mere inconsistency in impression updating.,2016,Mende-Siedlecki
36436737,27236373,Social representations and contextual adjustments as two distinct components of the Theory of Mind brain network: Evidence from the REMICS task.,2016,Lavoie
36436737,27266443,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,2016,Kirk
36436737,27319001,Contextual exclusion processing: an fMRI study of rejection in a performance-related context.,2017,Wagels
36436737,27375449,What Impact does An Angry Context have Upon Us? The Effect of Anger on Functional Connectivity of the Right Insula and Superior Temporal Gyri.,2016,Mazzola
36436737,27458363,Neural Correlates of the Appraisal of Attachment Scenes in Healthy Controls and Social Cognition-An fMRI Study.,2016,Labek
36436737,27477020,Self-Other Mergence in the Frontal Cortex during Cooperation and Competition.,2016,Wittmann
36436737,27494142,The Neural Responses to Social Cooperation in Gain and Loss Context.,2016,Sun
36436737,27496338,Neural correlates of naturalistic social cognition: brain-behavior relationships in healthy adults.,2016,Deuse
36436737,27510495,Intrinsic functional connectivity underlying successful emotion regulation of angry faces.,2016,Morawetz
36436737,27528669,Neurocomputational mechanisms of prosocial learning and links to empathy.,2016,Lockwood
36436737,27568587,The selfless mind: How prefrontal involvement in mentalizing with similar and dissimilar others shapes empathy and prosocial behavior.,2016,Majdandžić
36436737,27576746,When BOLD is thicker than water: processing social information about kin and friends at different levels of the social network.,2016,Wlodarski
36436737,27622781,Increases in brain activity during social competition predict decreases in working memory performance and later recall.,2017,DiMenichi
36436737,27716474,The impact of aging on the neural networks involved in gaze and emotional processing.,2016,Ziaei
36436737,27798249,Increased neural responses to empathy for pain might explain how acute stress increases prosociality.,2017,Tomova
36436737,27803286,The neural basis of understanding the expression of the emotions in man and animals.,2017,Spunt
36436737,27856343,Brain response to masked and unmasked facial emotions as a function of implicit and explicit personality self-concept of extraversion.,2017,Suslow
36436737,28008075,Deciphering human motion to discriminate social interactions: a developmental neuroimaging study.,2017,Sapey-Triomphe
36436737,28242678,A neural model of valuation and information virality.,2017,Scholz
36436737,28338962,Higher order intentionality tasks are cognitively more demanding.,2017,Lewis
36436737,28477977,Brain networks of social action-outcome contingency: The role of the ventral striatum in integrating signals from the sensory cortex and medial prefrontal cortex.,2017,Sumiya
36436737,28504911,The Value of Sharing Information: A Neural Account of Information Transmission.,2017,Baek
36436737,28905269,Differences in Neural Response to Romantic Stimuli in Monogamous and Non-Monogamous Men.,2017,Hamilton
36436737,28931014,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network.,2017,Kanazawa
36436737,29039129,Implicit attitudes and executive control interact to regulate interest in extra-pair relationships.,2017,Ueda
36436737,29073111,Perceiving social interactions in the posterior superior temporal sulcus.,2017,Isik
36436737,29077925,External motivation to avoid prejudice alters neural responses to targets varying in race and status.,2018,Mattan
36436737,29079809,Differential inter-subject correlation of brain activity when kinship is a variable in moral dilemma.,2017,Bacha-Trams
36436737,29097704,Potential for social involvement modulates activity within the mirror and the mentalizing systems.,2017,Begliomini
36436737,29221830,Distinguishable memory retrieval networks for collaboratively and non-collaboratively learned information.,2018,Vanlangendonck
36436737,29265483,Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems.,2018,Arioli
36436737,29324862,Taking two to tango: fMRI analysis of improvised joint action with physical contact.,2018,Chauvigné
36436737,29330483,"Neural Correlates of Sexual Orientation in Heterosexual, Bisexual, and Homosexual Women.",2018,Safron
36436737,29432769,Self-construals moderate associations between trait creativity and social brain network.,2018,Liu
36436737,29476765,Neural responses to visually observed social interactions.,2018,Walbrin
36436737,29582502,The role of the right temporo-parietal junction in social decision-making.,2018,Bitsch
36436737,29723244,"The ""social brain"" is highly sensitive to the mere presence of social information: An automated meta-analysis and an independent study.",2018,Tso
36436737,29740753,Facial Expression Enhances Emotion Perception Compared to Vocal Prosody: Behavioral and fMRI Studies.,2018,Zhang
36436737,29760183,Neural Mechanisms Underlying Individual Differences in Control-Averse Behavior.,2018,Rudorf
36436737,29771359,Neural bases of social communicative intentions in speech.,2018,Hellbernd
36436737,29777673,Activations of the dorsolateral prefrontal cortex and thalamus during agentic self-evaluation are negatively associated with trait self-esteem.,2018,Jiang
36436737,29890323,Tracking emotions in the brain - Revisiting the Empathic Accuracy Task.,2018,Mackes
36436737,30056560,Neural processing of the own child's facial emotions in mothers with a history of early life maltreatment.,2019,Neukel
36436737,30077577,Thinking about the past to shape the present: neural activation during the recall of relationship episodes.,2019,Wade-Bohleber
36436737,30154703,Interpretation of Social Interactions: Functional Imaging of Cognitive-Semiotic Categories During Naturalistic Viewing.,2018,Wolf
36436737,30272134,Hierarchical Brain Network for Face and Voice Integration of Emotion Expression.,2019,Davies-Thompson
36436737,30349467,Role-Specific Brain Activations in Leaders and Followers During Joint Action.,2018,Chauvigné
36436737,30649548,Dissecting social interaction: dual-fMRI reveals patterns of interpersonal brain-behavior relationships that dissociate among dimensions of social exchange.,2019,Špiláková
36436737,30658938,Altered striatal reward processing in abstinent dependent cannabis users: Social context matters.,2019,Zimmermann
36436737,30852995,A neurocognitive investigation of the impact of socializing with a robot on empathy for pain.,2019,Cross
36436737,30930310,The facilitative effect of gestures on the neural processing of semantic complexity in a continuous narrative.,2019,Cuevas
36436737,31056647,Social support modulates the neural correlates underlying social exclusion.,2019,Morese
36436737,31090126,Widespread and lateralized social brain activity for processing dynamic facial expressions.,2019,Sato
36436737,31142792,Behavioural and Neural Responses to Facial Disfigurement.,2019,Hartung
36436737,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods.",2019,Javor
36436737,31783116,Neural oscillations in human auditory cortex revealed by fast fMRI during auditory perception.,2020,Frühholz
36100907,29432769,Self-construals moderate associations between trait creativity and social brain network.,2018,Liu
36100907,29723244,"The ""social brain"" is highly sensitive to the mere presence of social information: An automated meta-analysis and an independent study.",2018,Tso
36100907,28287194,Morphovolumetric changes after EMDR treatment in drug-naïve PTSD patients.,2017,Bossini
36100907,22453299,Effects of post-traumatic stress disorder on occipital lobe function and structure.,2012,Chao
36100907,19538748,Insular cortex involvement in declarative memory deficits in patients with post-traumatic stress disorder.,2009,Chen
36100907,23155380,Different regional gray matter loss in recent onset PTSD and non PTSD after a single prolonged trauma exposure.,2012,Chen
36100907,26347628,"Gray Matter Alterations in Post-Traumatic Stress Disorder, Obsessive-Compulsive Disorder, and Social Anxiety Disorder.",2015,Cheng
36100907,16038682,Size versus shape differences: contrasting voxel-based and volumetric analyses of the anterior cingulate cortex in individuals with acute posttraumatic stress disorder.,2005,Corbo
36100907,21118656,"Structural alterations in lateral prefrontal, parietal and posterior midline regions of men with chronic posttraumatic stress disorder.",2011,Eckart
36100907,19794316,Duration of posttraumatic stress disorder predicts hippocampal grey matter loss.,2009,Felmingham
36100907,17923164,Structure of orbitofrontal cortex and its longitudinal course in cancer-related post-traumatic stress disorder.,2007,Hakamata
36100907,23021615,"Post-traumatic stress symptoms correlate with smaller subgenual cingulate, caudate, and insula volumes in unmedicated combat veterans.",2012,Herringa
36100907,17825801,Evidence for acquired pregenual anterior cingulate gray matter loss from a twin study of combat-related posttraumatic stress disorder.,2008,Kasai
36100907,21418787,Structural brain abnormalities common to posttraumatic stress disorder and depression.,2011,Kroes
36100907,16838824,Magnetic resonance imaging and magnetic resonance spectroscopy study of deficits in hippocampal structure in fire victims with recent-onset posttraumatic stress disorder.,2006,Li
36100907,19942229,Gray matter density in limbic and paralimbic cortices is associated with trauma load and EMDR outcome in PTSD patients.,2010,Nardo
36100907,28549317,Frontal and subcortical grey matter reductions in PTSD.,2017,O'Doherty
36100907,23776553,Voxel-based morphometry in women with borderline personality disorder with and without comorbid posttraumatic stress disorder.,2013,Niedtfeld
36100907,32490056,Social support modulates the association between PTSD diagnosis and medial frontal volume in Chinese adults who lost their only child.,2020,Qi
36100907,22952599,Decreased premotor cortex volume in victims of urban violence with posttraumatic stress disorder.,2012,Rocha-Rego
36100907,26952803,Abnormal grey matter in victims of rape with PTSD in Mainland China: a voxel-based morphometry study.,2010,Sui
36100907,21710131,Evidence of diffuse damage in frontal and occipital cortex in the brain of patients with post-traumatic stress disorder.,2012,Tavanti
36100907,12853571,Voxel-based analysis of MRI reveals anterior cingulate gray-matter volume reduction in posttraumatic stress disorder due to terrorism.,2003,Yamasue
36100907,21498053,Decreased gray matter volume in the left hippocampus and bilateral calcarine cortex in coal mine flood disaster survivors with recent onset PTSD.,2011,Zhang
36100907,29740753,Facial Expression Enhances Emotion Perception Compared to Vocal Prosody: Behavioral and fMRI Studies.,2018,Zhang
36115222,21383264,Gene x disease interaction on orbitofrontal gray matter in cocaine addiction.,2011,Alia-Klein
36115222,21281718,24-month effect of smoking cessation on cognitive function and brain structure in later life.,2011,Almeida
36115222,18165464,Smoking is associated with reduced cortical regional gray matter density in brain regions associated with incipient Alzheimer disease.,2008,Almeida
36115222,23142417,The role of default network deactivation in cognition and disease.,2012,Anticevic
36115222,25988724,Magnetic resonance imaging structural alterations in brain of alcohol abusers and its association with impulsivity.,2016,Asensio
36115222,21338692,Reduced striatal volume in cocaine-dependent patients.,2011,Barrós-Loscertales
36115222,24633558,Long-term effects of cannabis on brain structure.,2014,Battistella
36115222,25637267,Long-term use of psychedelic drugs is associated with differences in brain structure and personality in humans.,2015,Bouso
36115222,14706428,Differences between smokers and nonsmokers in regional gray matter volumes and densities.,2004,Brody
36115222,24496784,Childhood adversity is linked to differential brain volumes in adolescents with alcohol use disorder: a voxel-based morphometry study.,2014,Brooks
36115222,19707568,Episodic memory in detoxified alcoholics: contribution of grey matter microstructure alteration.,2009,Chanraud
36115222,17047671,Brain morphometry and cognitive performance in detoxified alcohol-dependents with preserved psychosocial functioning.,2007,Chanraud
36115222,26364127,Neurobiological underpinnings of sensation seeking trait in heroin abusers.,2015,Cheng
36115222,24478673,"Reduced frontal brain volume in non-treatment-seeking cocaine-dependent individuals: exploring the role of impulsivity, depression, and smoking.",2014,Crunelle
36115222,21592680,Reduced cortical gray matter volume in male adolescents with substance and conduct problems.,2011,Dalwani
36115222,20817105,Medial prefrontal gray matter volume reductions in users of amphetamine-type stimulants revealed by combined tract-based spatial statistics and voxel-based morphometry.,2011,Daumann
36115222,21599718,Effects of alcoholism and continued abstinence on brain volumes in both genders.,2011,Demirakca
36115222,27793597,Impact of general cognition and executive function deficits on addiction treatment outcomes: Systematic review and discussion of neurocognitive pathways.,2016,Domínguez-Salas
36115222,25385625,Long-term effects of marijuana use on the brain.,2014,Filbey
36115222,11822992,"Decreased gray matter concentration in the insular, orbitofrontal, cingulate, and temporal cortices of cocaine patients.",2002,Franklin
36115222,25090480,The effects of chronic cigarette smoking on gray matter volume: influence of sex.,2014,Franklin
36115222,24832823,Current smoking and reduced gray matter volume-a voxel-based morphometry study.,2014,Fritz
36115222,17004938,Smoking and structural brain deficits: a volumetric MR investigation.,2006,Gallinat
36115222,22178355,Reduced grey matter in the posterior insula as a structural vulnerability or diathesis to addiction.,2012,Gardini
36115222,25090480,The effects of chronic cigarette smoking on gray matter volume: influence of sex.,2014,Franklin
