meta_pmid,study_pmid,,,,,
36436737,18633788,,,,,
36436737,19048432,,,,,
36436737,18537114,,,,,
36436737,19199417,,,,,
36436737,18585742,,,,,
36436737,18603608,,,,,
36436737,20350171,,,,,
36436737,20350187,,,,,
36436737,18313858,,,,,
36436737,19107754,,,,,
36436737,11352615,,,,,
36436737,10607399,,,,,
36436737,22360624,,,,,
36436737,23435496,,,,,
36436737,14980212,,,,,
36436737,24097375,,,,,
36436737,23221019,,,,,
36436737,29079809,,,,,
36436737,24294906,,,,,
36436737,24068815,,,,,
36436737,24051621,,,,,
36436737,23988759,,,,,
36436737,23887810,,,,,
36436737,23722983,,,,,
36436737,23720575,,,,,
36436737,23696200,,,,,
36436737,23667619,,,,,
36436737,27236373,,,,,
36436737,27165762,,,,,
36436737,27096431,,,,,
36436737,27090501,,,,,
36436737,27039141,,,,,
36436737,27007121,,,,,
36436737,26920683,,,,,
36436737,26908320,,,,,
36436737,26812250,,,,,
36436737,27217118,,,,,
36115222,21383264,,,,,
36115222,21281718,,,,,
36115222,18165464,,,,,
36115222,23142417,,,,,
36115222,25988724,,,,,
36115222,21338692,,,,,
36115222,24633558,,,,,
36115222,25637267,,,,,
36115222,14706428,,,,,
36115222,24496784,,,,,
36115222,19707568,,,,,
36115222,17047671,,,,,
36115222,26364127,,,,,
36115222,24478673,,,,,
36115222,21592680,,,,,
36115222,20817105,,,,,
36115222,21599718,,,,,
36115222,27793597,,,,,
36115222,25385625,,,,,
36115222,11822992,,,,,
36115222,25090480,,,,,
36115222,24832823,,,,,
36115222,17004938,,,,,
36115222,22178355,,,,,
36115222,25090480,,,,,
36115222,24741043,,,,,
36115222,24179800,,,,,
36115222,21691942,,,,,
36115222,25125263,,,,,
36115222,27500453,,,,,
36115222,24086317,,,,,
36115222,24090712,,,,,
36115222,24961260,,,,,
36115222,17951002,,,,,
36115222,22076160,,,,,
36115222,15982446,,,,,
36115222,21909705,,,,,
36115222,20875635,,,,,
36115222,24140937,,,,,
36115222,20731627,,,,,
36115222,22386968,,,,,
36115222,19531112,,,,,
36115222,21310189,,,,,
36115222,16369836,,,,,
36115222,24342420,,,,,
36115222,15607838,,,,,
36115222,17088334,,,,,
36115222,23149031,,,,,
36115222,22445480,,,,,
36115222,22391134,,,,,
36115222,21383264,,,,,
36115222,27126701,,,,,
36115222,29881337,,,,,
36115222,23352851,,,,,
36115222,21078704,,,,,
36115222,18187528,,,,,
36115222,28887180,,,,,
36115222,20096794,,,,,
36115222,24483366,,,,,
36115222,29065207,,,,,
36115222,17299505,,,,,
36115222,25990865,,,,,
36115222,18801475,,,,,
36115222,25123156,,,,,
36115222,23072363,,,,,
36115222,22270405,,,,,
36115222,23726981,,,,,
36115222,27575491,,,,,
36115222,25051341,,,,,
36115222,25727574,,,,,
36115222,22717339,,,,,
36115222,23190458,,,,,
36115222,26094186,,,,,
36115222,26078198,,,,,
36115222,24793365,,,,,
36115222,28150390,,,,,
36115222,28720860,,,,,
36115222,22076160,,,,,
36115222,28824470,,,,,
36115222,19775795,,,,,
36115222,20699124,,,,,
36115222,28992531,,,,,
32078973,21766170,,,,,
32078973,21451019,,,,,
32078973,19211872,,,,,
32078973,21325535,,,,,
32078973,24474790,,,,,
32078973,23982589,,,,,
32078973,22339607,,,,,
32078973,18295984,,,,,
32078973,17475792,,,,,
32078973,15130588,,,,,
32078973,28686139,,,,,
32078973,29408323,,,,,
32078973,29408524,,,,,
32078973,23041528,,,,,
32078973,21933719,,,,,
32078973,19524531,,,,,
32078973,25277841,,,,,
32078973,23345243,,,,,
32078973,18572984,,,,,
32078973,23313780,,,,,
32078973,25798082,,,,,
32078973,19812332,,,,,
32078973,28429160,,,,,
32078973,22309791,,,,,
32078973,15795134,,,,,
32078973,24137106,,,,,
32078973,22994937,,,,,
32078973,11239442,,,,,
32078973,20877644,,,,,
32078973,26176860,,,,,
32078973,22250647,,,,,
32078973,16778890,,,,,
32078973,23773952,,,,,
32078973,23723089,,,,,
32078973,23536092,,,,,
32078973,26500486,,,,,
32078973,16033924,,,,,
32078973,25632132,,,,,
32078973,10731225,,,,,
32078973,19576868,,,,,
32078973,15327927,,,,,
32078973,23365248,,,,,
32078973,20357071,,,,,
32078973,27620345,,,,,
32078973,18981414,,,,,
32078973,27623361,,,,,
32078973,15588617,,,,,
32078973,23148798,,,,,
32078973,22707378,,,,,
32078973,24867804,,,,,
32078973,23644912,,,,,
32078973,26780575,,,,,
32078973,30133446,,,,,
32078973,24754451,,,,,
32078973,21995446,,,,,
32078973,23476024,,,,,
32078973,24317375,,,,,
32078973,28164168,,,,,
32078973,25206656,,,,,
32078973,22922368,,,,,
32078973,25112281,,,,,
32078973,15483614,,,,,
32078973,16785427,,,,,
32078973,21334351,,,,,
32078973,19587274,,,,,
32078973,20472072,,,,,
32078973,16339445,,,,,
32078973,25067816,,,,,
32078973,15800185,,,,,
32078973,16504951,,,,,
32078973,26071624,,,,,
32078973,18612380,,,,,
32078973,23355606,,,,,
32078973,25100220,,,,,
32078973,21555079,,,,,
32078973,20032247,,,,,
32078973,21106817,,,,,
32078973,23392532,,,,,
32078973,23966584,,,,,
32078973,28131889,,,,,
32078973,24607236,,,,,
32078973,14700259,,,,,
32078973,31634665,,,,,
32078973,28131862,,,,,
32078973,24355752,,,,,
32078973,27177981,,,,,
32078973,18787233,,,,,
32078973,19015090,,,,,
32078973,27975159,,,,,
32078973,16959497,,,,,
32078973,20032238,,,,,
32078973,20301345,,,,,
32078973,28413776,,,,,
32078973,24367286,,,,,
32078973,25281799,,,,,
32078973,21741443,,,,,
32078973,24857827,,,,,
32078973,25819606,,,,,
32078973,18727234,,,,,
32078973,28129057,,,,,
32078973,27989774,,,,,
32078973,20138482,,,,,
32078973,19879367,,,,,
32078973,25055179,,,,,
32078973,20505110,,,,,
32078973,12944524,,,,,
32078973,27591399,,,,,
32078973,15784440,,,,,
32078973,15184037,,,,,
32078973,12655327,,,,,
32078973,11906224,,,,,
32078973,11133312,,,,,
32078973,11751032,,,,,
32078973,12062884,,,,,
32078973,17949691,,,,,
32078973,12948701,,,,,
32078973,12513946,,,,,
32078973,23707590,,,,,
32078973,26510176,,,,,
32078973,18045902,,,,,
32078973,20805539,,,,,
32078973,26640434,,,,,
32078973,26269638,,,,,
32078973,18582578,,,,,
32078973,26076493,,,,,
32078973,21864197,,,,,
32078973,21354189,,,,,
32078973,26238384,,,,,
32078973,28250149,,,,,
32078973,25498405,,,,,
32078973,18375149,,,,,
32078973,18804540,,,,,
32078973,21534685,,,,,
32078973,24298242,,,,,
32078973,10860790,,,,,
32078973,27001826,,,,,
32078973,17274020,,,,,
32078973,25698984,,,,,
32078973,18997791,,,,,
32078973,20188198,,,,,
32078973,12802176,,,,,
32078973,26052943,,,,,
32078973,18710652,,,,,
32078973,26879047,,,,,
32078973,19897796,,,,,
32078973,23684860,,,,,
32078973,22486330,,,,,
32078973,18842669,,,,,
32078973,16971537,,,,,
32078973,15795135,,,,,
32078973,22194728,,,,,
32078973,31019695,,,,,
