meta_pmid,study_pmid,status,final_status,title,Author,corrected_status,reason,SourceSheet,posthoc_status,posthoc_reason
36436737,18985119,YES,YES,Social interaction modifies neural response to gaze shifts.,Bristow D,YES,,YES,,
36436737,19015088,NO,YES,Mapping social target detection with functional magnetic resonance imaging.,Ditcher GS,YES,NotHealthy,YES,,
36436737,19048432,YES,YES,Dynamic pupillary exchange engages brain regions encoding social salience.,Harrison NA,YES,,YES,,
36436737,19048446,NO,NO,Developmental frontal lobe imaging in moral judgment: Arthur Benton's enduring influence 60 years later.,Eslinger PJ,NO,Non-Adults,Non-Adults,,
36436737,19107754,NO,YES,Neural basis of individualistic and collectivistic views of self.,Chiao JY,YES,NotHealthy,YES,,
36436737,19136216,YES,YES,Amygdala activity to fear and anger in healthy young males is associated with testosterone.,Dernti B,YES,,YES,NO,Not Whole Brain
36436737,19199417,,YES,How do we empathize with someone who is not like us? A functional magnetic resonance imaging study.,Lamm C,YES,,YES,,
36436737,19199419,YES,NO,Cross-cultural reading the mind in the eyes: an fMRI investigation.,Adams RB,YES,,YES,,
36436737,19304843,YES,YES,What motivates repayment? Neural correlates of reciprocity in the Trust Game.,Van den bos,YES,,YES,,
36436737,19347874,YES,YES,Attachment avoidance modulates neural response to masked facial emotion.,Suslow T,YES,,YES,,
36436737,19384602,YES,NO,Audiovisual non-verbal dynamic faces elicit converging fMRI and ERP responses.,,NO,NotHealthy,,YES,Subjects are healthy 
36436737,19439183,YES,YES,Social context and perceived agency affects empathy for pain: an event-related fMRI investigation.,,YES,,,,
36436737,19596021,YES,NO,Cerebral representation of non-verbal emotional perception: fMRI reveals audiovisual integration area between voice- and face-sensitive regions in the superior temporal sulcus.,Kreifelts B,NO,Atypical,YES,,
36436737,19630890,NO,NO,Probing the neural correlates of anticipated peer evaluation in adolescence.,Guyer AE,NO,Non-Adults,Non-Adults,,
36436737,19630891,NO,NO,Neural correlates of direct and reflected self-appraisals in adolescents and adults: when social perspective-taking informs self-perception.,Pfeifer JH,NO,Age,YES,YES,Adult only data is reported
36436737,19733672,YES,YES,Neural correlates of social cognition in naturalistic settings: a model-free analysis approach.,,YES,,,,
36436737,19739909,NO,NO,Aging minds and twisting attitudes: an fMRI investigation of age differences in inhibiting prejudice.,differences in specific neural connections,NO,Non-Adults,Non-Adults,NO,No young only results reported
36436737,19944083,YES,YES,Emotional and cognitive aspects of empathy and their relation to social cognition--an fMRI-study.,,YES,,,,
36436737,20045478,YES,YES,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,Benoit RG,YES,,YES,,
36436737,20056152,YES,YES,Brain mechanisms for representing what another person sees.,,YES,,,,
36436737,20071521,YES,YES,Value computations in ventral medial prefrontal cortex during charitable decision making incorporate input from regions involved in social cognition.,Hare TA,YES,,YES,,
36436737,20096792,YES,YES,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,,YES,,,,
36436737,20098696,YES,NO,Common premotor regions for the perception and production of prosody and correlations with empathy and prosodic ability.,Aziz Zedah,YES,No Coordinates,YES,,
36436737,20119878,YES,YES,Neural regions that underlie reinforcement learning are also active for social expectancy violations.,,YES,,,,
36436737,20188182,YES,YES,Love hurts: an fMRI study.,Cheng Y,YES,,YES,,
36436737,20188190,YES,YES,'Do I like this person?' A network analysis of midline cortex during a social preference task.,,YES,,,,
36436737,20350167,NO,NO,The role of the human prefrontal cortex in social cognition and moral judgment.,Forbes CE,NO,NotOriginal,YES,,
36436737,20350171,YES,YES,Beyond the memory mechanism: person-selective and nonselective processes in recognition of personally familiar faces.,Sugiura M,YES,,YES,,
36436737,20350187,,YES,From agents to objects: sexist attitudes and neural responses to sexualized targets.,,YES,,,,
36436737,20401807,NO,NO,Resisting motor mimicry: control of imitation involves processes central to social cognition in patients with frontal and temporo-parietal lesions.,,NO,NotHealthy,,,
36436737,20439736,YES,NO,Mapping the information flow from one brain to another during gestural communication.,,NO,Atypical,,NO,"Atypical analysis - Granger causality is not the main task evoked effect. Although there are some whole-brain GLM results, they are not the critical contrast"
36436737,20460301,YES,NO,"Stop looking angry and smile, please: start and stop of the very same facial expression differentially activate threat- and reward-related brain networks.",Mühlberger A,NO,ROI,YES,,
36436737,20534459,YES,YES,Neural correlates of anchoring-and-adjustment during mentalizing.,Tamir DI,YES,,YES,,
36436737,20695655,NO,NO,A comparative view of face perception.,Leopold DA,NO,Non-Human,Non-Human,,
36436737,20705602,YES,YES,Eyes on me: an fMRI study of the effects of social gaze on action control.,Schilbach L,YES,,YES,,
36436737,20923708,NO,NO,Developmental influences on the neural bases of responses to social rejection: implications of social neuroscience for education.,Sebastian CL,NO,Age,YES,NO,Main adult effects are not separately reported
36436737,20943931,YES,NO,Clan mentality: evidence that the medial prefrontal cortex responds to close others.,,YES,No Coordinates,,,
36436737,20977559,NO,NO,Neurodevelopmental changes in the circuits underlying empathy and sympathy from childhood to adulthood.,Decety J,NO,Age,YES,,
36436737,21036192,NO,NO,The social brain in adolescence: evidence from functional magnetic resonance imaging and behavioural studies.,Burnett S,NO,Non-Adults,Non-Adults,,
36436737,21164174,NO,NO,"Changing brains, changing perspectives: the neurocognitive development of reciprocity.",Van den bos W,NO,Non-Adults,Non-Adults,,
36436737,21172325,YES,NO,I remember you: a role for memory in social cognition and the functional neuroanatomy of their interaction.,Sprung RN,NO,Atypical,YES,,
36436737,21206532,YES,YES,Individuating faces and common objects produces equal responses in putative face-processing areas in the ventral occipitotemporal cortex.,Haist F,YES,,YES,,
36436737,21249224,YES,YES,Recruitment of both the mirror and the mentalizing networks when observing social interactions depicted by point-lights: a neuroimaging study.,Centelles L,YES,,YES,,
36436737,21278194,NO,NO,Development of the action observation network during early adolescence: a longitudinal study.,Shaw DJ,NO,Non-Adults,Non-Adults,,
36436737,21320516,YES,YES,Gender differences in the neural correlates of humor processing: implications for different processing modes.,Kohn N,YES,,YES,,
36436737,21569855,YES,YES,An fMRI study of violations of social expectations: when people are not who we expect them to be.,Cloutier J,YES,,YES,,
36436737,21600991,YES,YES,The representation of social interaction in episodic memory: a functional MRI study.,Mano Y,YES,,YES,,
36436737,21606658,YES,YES,The role of the right hemisphere for processing of social interactions in normal adults using functional magnetic resonance imaging.,Semrud-Clikeman M,YES,,YES,,
36436737,21664277,,YES,Higher or lower? The functional anatomy of perceived allocentric social hierarchies.,Farrow TF,YES,,YES,,
36436737,21703352,NO,YES,Neural regions associated with self control and mentalizing are recruited during prosocial behaviors towards the family.,Telzer EH,YES,NotHealthy,YES,,
36436737,21723130,NO,NO,Early specialization for voice and emotion processing in the infant brain.,Blasi A,NO,Non-Adults,Non-Adults,,
36436737,21761508,YES,NO,Functional dissociation of the left and right fusiform gyrus in self-face recognition.,Ma Y,YES,NoCoordinates,YES,,
36436737,21775952,NO,NO,Brain imaging investigation of the neural correlates of observing virtual social interactions.,Sung K,NO,NotHealthy,YES,NO,Not a real original study
36436737,21812564,NO,NO,Development of functional connectivity during adolescence: a longitudinal study using an action-observation paradigm.,Shaw DJ,NO,Non-Adults,Non-Adults,,
36436737,21849560,YES,YES,The control of mimicry by eye contact is mediated by medial prefrontal cortex.,Wang Y,YES,,YES,,
36436737,21862446,YES,YES,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,Hughes BL,YES,,YES,NO,Technically not whole brain
36436737,21864459,,YES,Cerebral correlates and statistical criteria of cross-modal face and voice integration.,,YES,,,,
36436737,21908447,YES,YES,Dissociable neural correlates of stereotypes and other forms of semantic knowledge.,,YES,,,,
36436737,21940454,YES,YES,Supramodal representation of emotions.,Klasen M,YES,,YES,,
36436737,21955370,YES,YES,An fMRI study of the social competition in healthy subjects.,Poloson M,YES,,YES,,
36436737,21981758,YES,NO,Differential brain responses to social exclusion by one's own versus opposite-gender peers.,Bolling DZ,YES,,YES,,
36436737,22003388,YES,NO,Predicting decisions in human social interactions using real-time fMRI and pattern classification.,Hollmann M,NO,"ROI, Atypical",YES,,
36436737,22019860,YES,YES,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,Sokolov AA,YES,,YES,,
36436737,22038344,NO,NO,"""Better the devil you know"": a preliminary study of the differential modulating effects of reputation on reward processing for boys with and without externalizing behavior problems.",Sharp C,NO,Non-Adults,Non-Adults,,
36436737,22125232,YES,YES,Brain mechanisms for processing affective touch.,Gordon I,YES,,YES,,
36436737,22174872,YES,YES,The neural correlates of emotional prosody comprehension: disentangling simple from complex emotion.,Alba-Ferrara L,YES,,YES,,
36436737,22257745,NO,NO,Rebelling against the brain: public engagement with the 'neurological adolescent'.,Choudhury SA,NO,Non-Adults,Non-Adults,,
36436737,22290781,YES,NO,Seeing is believing: neural mechanisms of action-perception are biased by team membership.,Molenberghs P,YES,,YES,,
36436737,22308468,NO,NO,Evidence for social working memory from a parametric functional MRI study.,,NO,,,YES,
36436737,22349798,YES,YES,Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL.,Janowski V,YES,,YES,,
36436737,22360624,YES,YES,The superior temporal sulcus differentiates communicative and noncommunicative auditory signals.,Shultz S,YES,,YES,,
36436737,22371086,YES,NO,Age-related neural differences in affiliation and isolation.,Beadle JN,NO,Age,YES,NO,Young control results are not reported independently of older group
36436737,22403154,YES,NO,Neuroimaging self-esteem: a fMRI study of individual differences in women.,Frewen PA,YES,,YES,,
36436737,22434810,NO,NO,Development of the social brain in adolescence.,Blakemore SJ,NO,Non-Adults,Non-Adults,,
36436737,22439896,NO,NO,Age-related changes to the neural correlates of social evaluation.,Cassidy BS,NO,Non-Adults,Non-Adults,NO,Control young subjects results is not reported separately
36436737,22490923,YES,NO,The neural dynamics of updating person impressions.,Mende-Siedlecki  P,YES,,YES,,
36436737,22507230,YES,NO,Disentangling the brain networks supporting affective speech comprehension.,,NO,Not Social,,YES,"By definition on meta-analysis, it is a social task"
36436737,22507699,NO,NO,Imaging models of valuation during social interaction in humans.,Kishida KT,NO,NotOriginal,YES,,
36436737,22563005,NO,YES,Familiarity promotes the blurring of self and other in the neural representation of threat.,Beckes L,YES,NotHealthy,YES,,
36436737,22563008,NO,NO,Differential neurobiological effects of expert advice on risky choice in adolescents and adults.,Engelmann JB,NO,Non-Adults,Non-Adults,NO,Only developmental (age-related) effects are shown
36436737,22623534,YES,NO,Emotions promote social interaction by synchronizing brain activity across individuals.,Nummenmaa L,NO,Atypical,YES,NO,Atypical analysis - not main task evoked effect
36436737,22661409,YES,YES,Functional neural plasticity and associated changes in positive affect after compassion training.,,YES,,,,
36436737,22726841,YES,YES,Learning to simulate others' decisions.,Suzuki S,YES,,YES,,
36436737,22841755,YES,YES,Neural correlates of social motivation: an fMRI study on power versus affiliation.,Quirin N,YES,,YES,,
36436737,22848759,YES,YES,The neural bases of social intention understanding: the role of interaction goals.,Cannesa N,YES,,YES,,
36436737,22905026,YES,NO,Naturalistic FMRI mapping reveals superior temporal sulcus as the hub for the distributed brain network for social perception.,Lahnakoski JM,YES,,YES,,
36436737,22909094,NO,NO,Normal aging modulates prefrontoparietal networks underlying multiple memory processes.,Sambataro F,NO,Non-Adults,Non-Adults,,
36436737,22956840,YES,YES,A neural signature of affiliative emotion in the human septohypothalamic area.,Moll J,YES,,YES,,
36436737,22982277,NO,NO,The missing link: mothers' neural response to infant cry related to infant attachment behaviors.,Laurent HK,NO,Non-Adults,Non-Adults,YES,"Whole brain is shown, for adult group"
36436737,23063451,YES,YES,Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: an fMRI study.,Van der Heiden L,YES,,YES,,
36436737,23110882,YES,NO,fMRI reveals reciprocal inhibition between social and physical cognitive domains.,Jack AI,YES,,YES,,
36436737,23142071,NO,NO,Dissimilar processing of emotional facial expressions in human and monkey temporal cortex.,Zhu Q,NO,Non-Human,Non-Human,YES,Non-human but have human only results
36436737,23149446,NO,NO,Maternal interpersonal affiliation is associated with adolescents' brain structure and reward processing.,"Schneider S,",NO,Non-Adults,Non-Adults,,
36436737,23221019,NO,YES,The busy social brain: evidence for automaticity and control in the neural systems supporting social cognition and action understanding.,Spunt RP,YES,NotHealthy,YES,,
36436737,23249349,NO,YES,Seeing it my way or your way: frontoparietal brain areas sustain viewpoint-independent perspective selection processes.,Ramsey R,YES,NotHealthy,YES,,
36436737,23251653,YES,NO,FMRI evidence of 'mirror' responses to geometric shapes.,Press C,YES,,YES,,
36436737,23267322,YES,NO,Interaction vs. observation: distinctive modes of social cognition in human brain and behavior? A combined fMRI and eye-tracking study.,Tylen K,NO,ROI,YES,NO,Whole brain data is not reported
36436737,23298748,YES,YES,Working memory for social information: chunking or domain-specific buffer?,Thornton MA,YES,,YES,,
36436737,23327932,YES,YES,Reminders of mortality decrease midcingulate activity in response to others' suffering.,Luo S,YES,,YES,,
36436737,23378834,YES,YES,Anterior temporal face patches: a meta-analysis and empirical study.,Von Der Heide RJ,YES,Also includes a meta-analysis in the paper,YES,,
36436737,23435496,NO,YES,Gender-selective neural populations: evidence from event-related fMRI repetition suppression.,Podrebarac SK,YES,NotHealthy,YES,,
36436737,23460073,YES,YES,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,Koban L,YES,,YES,,
36436737,23482624,YES,YES,From mind to matter: neural correlates of abstract and concrete mindsets.,Gilead M,YES,,YES,,
36436737,23508477,NO,YES,The neural correlates of beauty comparison.,Kedia G,YES,NotHealthy,YES,,
36436737,23528247,YES,NO,Decoding the representation of learned social roles in the human brain.,Eger M,NO,Atypical,YES,,
36436737,23574585,YES,YES,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,Contreras JM,YES,,YES,,
36436737,23599165,YES,YES,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,Cooper JC,YES,,YES,,
36436737,23620602,YES,YES,Do you mean me? Communicative intentions recruit the mirror and the mentalizing system.,Ciaramidaro A,YES,,YES,,
36436737,23639347,NO,NO,Childhood maternal support and social capital moderate the regulatory impact of social relationships in adulthood.,Coan JA,NO,Non-Adults,Non-Adults,YES,Scanning was done when participant were adults
36436737,23667619,YES,YES,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,Wildgruber D,YES,,YES,,
36436737,23684882,YES,YES,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,Mainieri AG,YES,,YES,,
36436737,23696200,YES,YES,Compassion training alters altruism and neural responses to suffering.,Weng HY,YES,,YES,,
36436737,23720575,YES,YES,Reward-related neural responses are dependent on the beneficiary.,Braams BR,YES,,YES,,
36436737,23722983,YES,YES,Creating buzz: the neural correlates of effective message propagation.,Falk EB,YES,,YES,,
36436737,23740868,YES,YES,"The neural correlates of 'vitality form' recognition: an fMRI study: this work is dedicated to Daniel Stern, whose immeasurable contribution to science has inspired our research.",Di Ceasre,YES,,YES,,
36436737,23770622,YES,NO,Cognitive and affective theory of mind share the same local patterns of activity in posterior temporal but not medial prefrontal cortex.,Corradi-Dell'Acqua C,YES,,YES,,
36436737,23804962,NO,NO,The medial prefrontal cortex and the emergence of self-conscious emotion in adolescence.,,NO,Non-Adults,,,
36436737,23813661,YES,YES,Perceiving nonverbal behavior: neural correlates of processing movement fluency and contingency in dyadic interactions.,Georgescu AL,YES,,YES,,
36436737,23850465,NO,NO,Outcome dependency alters the neural substrates of impression formation.,Ames DL,NO,NotHealthy,YES,YES,"Not explicitly healthy, but inferred"
36436737,23876243,YES,YES,Sex differences in the development of brain mechanisms for processing biological motion.,,YES,,,,
36436737,23887806,YES,NO,From social-signal detection to higher social cognition: an fMRI approach.,Suguira M,YES,,YES,,
36436737,23887810,YES,YES,An fMRI investigation of the effects of belief in free will on third-party punishment.,Krueger F,YES,,YES,,
36436737,23911672,YES,NO,Superior temporal sulcus and social cognition in dangerous drivers.,Zelinkova J,YES,NotSocial?,YES,,
36436737,23917500,NO,NO,Social decision-making and theoretical neuroscience: prospects for human sciences and computational psychiatry,,NO,,,,
36436737,23948645,YES,NO,The functional architecture for face-processing expertise: FMRI evidence of the developmental trajectory of the core and the extended face systems.,Haist F,NO,Age,YES,,
36436737,23988759,NO,YES,A neuroimaging investigation of attribute framing and individual differences.,Murch,YES,NotHealthy,YES,,
36436737,24036130,NO,NO,Investigation of musicality in birdsong.,Rothenburg D,NO,Non-Human,Non-Human,,
36436737,24051621,YES,YES,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,,YES,,,,
36436737,24068815,YES,YES,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,,YES,,,,
36436737,24084068,YES,YES,Revealing the neural networks associated with processing of natural social interaction and the related effects of actor-orientation and face-visibility.,Saggar M,YES,,YES,,
36436737,24089495,YES,NO,Imaging social motivation: distinct brain mechanisms drive effort production during collaboration versus competition.,Le Bouc,YES,,YES,,
36436737,24097375,YES,YES,Rough primes and rough conversations: evidence for a modality-specific basis to mental metaphors.,Schaefer M,YES,,YES,,
36436737,24106333,YES,NO,Individual differences in posterior cortical volume correlate with proneness to pride and gratitude.,Zahn R,NO,Atypical,YES,,
36436737,24144548,YES,NO,Interindividual synchronization of brain activity during live verbal communication.,Speigalhalder K,YES,,YES,,
36436737,24243619,YES,YES,Neural correlates of explicit social judgments on vocal stimuli.,Lukas Hansel,YES,,YES,,
36436737,24265613,YES,NO,Connecting multimodality in human communication.,Rogenbogen C,NO,Atypical,YES,NO,"Atypical analysis, not main task evoked effect"
36436737,24294841,YES,YES,"Empathy, ToM, and self-other differentiation: an fMRI study of internal states.",Reniers RL,YES,,YES,,
36436737,24294906,YES,YES,Establishing cooperation in a mixed-motive social dilemma. An fMRI study investigating the role of social value orientation and dispositional trust.,Emonds G,YES,,YES,,
36436737,24341069,NO,NO,Social neuroscience and psychiatry,,NO,NoCoordiantes,,,
36436737,24381271,NO,NO,Heterogeneous single-unit selectivity in an fMRI-defined body-selective patch.,Popivanov ID,NO,Non-Human,Non-Human,,
36436737,24412433,NO,NO,When a loved one feels unfamiliar: a case study on the neural basis of Capgras delusion.,Thiel CM,NO,"Age, NotHealthy",YES,NO,Control participants are older
36436737,24412687,YES,NO,Developmental changes of neuronal networks associated with strategic social decision-making.,Steinmann E,NO,Non-Adults,YES,NO,Adult group results not reported
36436737,24414614,YES,YES,Mirror Neuron System and Mentalizing System connect during online social interaction.,Sperduti M,YES,,YES,,
36436737,24447026,YES,NO,Functional parcellation of the human primary somatosensory cortex to natural touch.,Malilen S,NO,Atypical,YES,,
36436737,24462962,YES,YES,Social cognition and neural substrates of face perception: implications for neurodevelopmental and neuropsychiatric disorders.,Lazar SM,YES,,YES,,
36436737,24478377,NO,NO,"A common cortical metric for spatial, temporal, and social distance.",Parkinson C,NO,NotHealthy,YES,YES,Healthy not explicit but true
36436737,24493846,NO,NO,The social network-network: size is predicted by brain structure and function in the amygdala and paralimbic regions.,Von der Heide R,NO,ROI,YES,,
36436737,24582805,YES,YES,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,Jankowski KF,YES,,YES,,
36436737,24583253,YES,YES,The neural basis of the bystander effect--the influence of group size on neural activity when witnessing an emergency.,Hortensius R,YES,,YES,,
36436737,24607363,NO,NO,Scent of the familiar: an fMRI study of canine brain responses to familiar and unfamiliar human and dog odors.,Berns GS,NO,Non-Human,Non-Human,,
36436737,24633532,YES,YES,"Neural correlates of attributing causes to the self, another person and the situation.",Kestemont J,YES,,YES,,
36436737,24639542,YES,YES,Attributing awareness to oneself and to others.,Kelly YT,YES,,YES,,
36436737,24652858,YES,YES,Acting on social exclusion: neural correlates of punishment and forgiveness of excluders.,Will GJ,YES,,YES,,
36436737,24666131,YES,YES,Reach out and touch someone: anticipatory sensorimotor processes of active interpersonal touch.,Ebisch J,YES,,YES,,
36436737,24700584,YES,YES,Reflections of Oneself: Neurocognitive Evidence for Dissociable Forms of Self-Referential Recollection.,Bergstrom ZM,YES,,YES,,
36436737,24726338,YES,YES,Reduced self-referential neural response during intergroup competition predicts competitor harm.,Cikara M,YES,,YES,,
36436737,24760733,YES,NO,Facial color processing in the face-selective regions: an fMRI study.,Nakajima K,NO,NotSocial,YES,YES,Social task
36436737,24772075,NO,YES,Cultural influences on social feedback processing of character traits.,Korn CW,YES,NotHealthy,YES,,
36436737,24795436,NO,NO,The neural correlates of emotion alignment in social interaction.,Prehn K,NO,,YES,YES,Healthy participants
36436737,24814646,YES,YES,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,Fehr T,YES,,YES,,
36436737,24824165,YES,YES,Look at those two!: The precuneus role in unattended third-person perspective of social interactions.,Petrini K,YES,,YES,,
36436737,24825504,YES,YES,Imagining triadic interactions simultaneously activates mirror and mentalizing systems.,Trapp K,YES,,YES,,
