meta_pmid,study_pmid,status,final_status
36436737,25729358,YES,YES
36436737,25716010,YES,YES
36436737,25697049,YES,YES
36436737,25640962,YES,YES
36436737,25571093,NO,NO
36436737,27642220,YES,NO
36436737,25534111,YES,YES
36436737,25489093,YES,NO
36436737,25338630,YES,NO
36436737,25315788,YES,YES
36436737,25298009,NO,YES
36436737,25281889,YES,YES
36436737,25253279,YES,NO
36436737,25244113,YES,NO
36436737,25220190,YES,NO
36436737,25118071,YES,YES
36436737,25088911,YES,YES
36436737,25042446,YES,YES
36436737,24936688,YES,YES
36436737,24880954,YES,NO
36436737,24842782,YES,YES
36436737,24834034,YES,YES
36436737,24825504,YES,YES
36436737,24824165,YES,YES
36436737,24814646,YES,YES
36436737,24795436,NO,NO
36436737,24772075,NO,YES
36436737,24726338,YES,YES
36436737,24700584,YES,YES
36436737,24652858,YES,YES
36436737,24639542,YES,YES
36436737,24633532,YES,YES
36436737,24583253,YES,YES
36436737,24493846,NO,NO
36436737,24478377,NO,NO
36436737,24462962,YES,YES
36436737,24414614,YES,YES
36436737,24412433,NO,NO
36436737,24294906,YES,YES
36436737,24294841,YES,YES
36436737,24265613,YES,NO
36436737,24243619,YES,YES
36436737,24144548,YES,NO
36436737,24106333,YES,NO
36436737,24089495,YES,NO
36436737,24084068,YES,YES
36436737,24068815,YES,YES
36436737,24051621,YES,YES
36436737,23988759,NO,YES
36436737,23917500,NO,NO
36436737,23911672,YES,NO
36436737,23887810,YES,YES
36436737,23887806,YES,NO
36436737,23850465,NO,NO
36436737,23813661,YES,YES
36436737,23770622,YES,NO
36436737,23740868,YES,YES
36436737,23722983,YES,YES
36436737,23720575,YES,YES
36436737,23696200,YES,YES
36436737,23684882,YES,YES
36436737,23667619,YES,YES
36436737,23620602,YES,YES
36436737,23599165,YES,YES
36436737,23574585,YES,YES
36436737,23528247,YES,NO
36436737,23508477,NO,YES
36436737,23482624,YES,YES
36436737,23460073,YES,YES
36436737,23378834,YES,YES
36436737,23327932,YES,YES
36436737,23298748,YES,YES
36436737,23267322,YES,NO
36436737,23251653,YES,NO
36436737,23249349,NO,YES
36436737,23221019,NO,YES
36436737,23110882,YES,NO
36436737,23063451,YES,YES
36436737,22956840,YES,YES
36436737,22905026,YES,NO
36436737,22848759,YES,YES
36436737,22841755,YES,YES
36436737,22726841,YES,YES
36436737,22661409,YES,YES
36436737,22623534,YES,NO
36436737,22563005,NO,YES
36436737,22507699,NO,NO
36436737,22507230,YES,NO
36436737,22490923,YES,NO
36436737,22403154,YES,NO
36436737,22349798,YES,YES
36436737,22308468,NO,NO
36436737,22290781,YES,NO
36436737,22174872,YES,YES
36436737,24391534,YES,NO
36436737,22019860,YES,YES
36436737,22003388,YES,NO
36436737,21981758,YES,NO
36436737,21955370,YES,YES
36436737,21940454,YES,YES
36436737,21908447,YES,YES
36436737,21908447,NO,NO
36436737,21862446,YES,YES
36436737,21849560,YES,YES
36436737,21775952,NO,NO
36436737,21703352,NO,YES
36436737,30018264,YES,NO
36436737,21606658,YES,YES
36436737,21600991,YES,YES
36436737,26302673,YES,NO
36436737,21320516,YES,YES
36436737,21249224,YES,YES
36436737,21172325,YES,NO
36436737,20943931,YES,NO
36436737,20705602,YES,YES
36436737,20534459,YES,YES
36436737,20439736,YES,NO
36436737,20350171,YES,YES
36436737,20350167,NO,NO
36436737,20188190,YES,YES
36436737,20188182,YES,YES
36436737,20096792,YES,YES
36436737,20071521,YES,YES
36436737,20056152,YES,YES
36436737,20045478,YES,YES
36436737,19944083,YES,YES
36436737,19733672,YES,YES
36436737,20401807,NO,NO
36436737,19439183,YES,YES
36436737,19384602,YES,NO
36436737,19347874,YES,YES
36436737,19304843,YES,YES
36436737,19199419,YES,NO
36436737,34409940,YES,NO
36436737,19048432,YES,YES
36436737,18633834,YES,YES
36436737,18633846,YES,YES
36436737,19015088,NO,YES
36436737,18985119,YES,YES
36436737,18985118,YES,YES
36436737,18633856,YES,YES
36436737,18633845,YES,NO
36436737,18633788,YES,YES
36436737,18603608,NO,YES
36436737,18585742,YES,YES
36436737,18537114,YES,YES
36436737,18514546,YES,YES
36436737,18501639,YES,YES
36436737,18486491,NO,YES
36436737,18439411,YES,YES
36436737,18431500,YES,NO
36436737,18370602,YES,YES
36436737,18234518,YES,NO
36436737,17986835,YES,YES
36436737,17964185,NO,YES
36436737,17627852,YES,YES
36436737,17536964,YES,NO
36436737,17404215,YES,YES
36436737,17100784,YES,NO
36436737,17071110,YES,YES
36436737,17055981,YES,NO
36436737,16759672,YES,YES
36436737,16406606,YES,YES
36436737,16171833,YES,YES
36436737,16122944,YES,YES
36436737,16055351,YES,YES
36436737,16035037,YES,YES
36436737,15862225,YES,NO
36436737,15701234,YES,YES
36436737,15528097,YES,YES
36436737,15488424,YES,YES
36436737,15327630,YES,NO
36436737,15006683,YES,YES
36436737,14980212,YES,YES
36436737,11850635,YES,YES
36436737,11496124,YES,YES
36436737,10943684,YES,NO
36436737,28008075,YES,YES
36436737,26143208,YES,YES
36436737,24760733,YES,NO
36436737,24666131,YES,YES
36436737,24582805,YES,YES
36436737,24447026,YES,NO
36436737,24412687,YES,NO
36436737,24097375,YES,YES
36436737,23948645,YES,NO
36436737,23876243,YES,YES
36436737,23435496,NO,YES
36436737,22371086,YES,NO
36436737,22360624,YES,YES
36436737,24550800,YES,NO
36436737,21761508,YES,NO
36436737,10607399,YES,YES
36436737,11352615,YES,YES
36436737,12202103,YES,NO
36436737,14568477,YES,YES
36436737,15808992,YES,YES
36436737,17408704,YES,YES
36436737,18586108,NO,NO
36436737,18783371,YES,YES
36436737,19107754,NO,YES
36436737,19136216,YES,YES
36436737,19596021,YES,NO
36436737,19630891,NO,NO
36436737,20098696,YES,NO
36436737,20119878,YES,YES
36436737,27716474,YES,YES
36436737,40773391,NO,NO
36436737,21206532,YES,YES
36436737,20977559,NO,NO
36436737,20923708,NO,NO
36436737,20460301,YES,NO
36436737,18486489,YES,NO
36436737,31849730,NO,NO
36436737,31844272,YES,NO
36436737,31843053,NO,NO
36436737,31798816,YES,NO
36436737,31783116,YES,YES
36436737,31747689,YES,NO
36436737,31729396,YES,NO
36436737,31690846,YES,NO
36436737,31680906,YES,NO
36436737,31639270,NO,NO
36436737,31598216,YES,YES
36436737,31589003,YES,NO
36436737,31506672,YES,NO
36436737,31420884,YES,NO
36436737,31379539,YES,NO
36436737,31322784,YES,NO
36436737,31268615,YES,NO
36436737,31170400,NO,NO
36436737,31157395,YES,NO
36436737,31142792,YES,YES
36436737,31100434,NO,NO
36436737,31090126,YES,YES
36436737,31063817,YES,NO
36436737,31056647,YES,YES
36436737,31051206,YES,NO
36436737,31036762,YES,NO
36436737,31028924,NO,NO
36436737,31028922,YES,NO
36436737,31011853,YES,NO
36436737,30976115,YES,NO
36436737,30949039,YES,NO
36436737,30930310,YES,YES
36436737,30852995,YES,YES
36436737,30852994,YES,NO
36436737,30842248,YES,NO
36436737,30834300,YES,NO
36436737,38043839,YES,NO
36436737,30825583,YES,NO
36436737,30807820,NO,NO
36436737,30794869,YES,NO
36436737,30698656,YES,NO
36436737,30679738,NO,NO
36436737,30658938,YES,NO
36436737,30649548,NO,YES
36436737,30639342,YES,NO
36436737,30639176,YES,NO
36436737,30624029,YES,NO
36436737,30610911,NO,NO
36436737,30594068,YES,NO
36436737,30500423,YES,NO
36436737,30455187,YES,NO
36436737,30414457,NO,NO
36436737,38867029,NO,NO
36436737,30389840,YES,NO
36436737,30300745,YES,NO
36436737,30272134,YES,YES
36436737,30221467,NO,NO
36436737,30195053,NO,NO
36436737,30077577,YES,YES
36436737,30056560,YES,YES
36436737,30038232,NO,NO
36436737,29959970,YES,NO
36436737,29931116,YES,NO
36436737,29896995,YES,NO
36436737,28966083,NO,NO
36436737,27340019,NO,NO
36436737,31740271,NO,NO
36436737,31849730,NO,NO
36436737,31844272,NO,NO
36436737,31798816,NO,NO
36436737,31747689,NO,NO
36436737,31740271,NO,NO
36436737,31729396,NO,NO
36436737,31690846,NO,NO
36436737,31680906,NO,NO
36436737,31639270,NO,NO
36436737,31598216,NO,NO
36436737,31589003,NO,NO
36436737,31506672,NO,NO
36436737,31420884,NO,NO
36436737,31379539,NO,NO
36436737,31322784,NO,NO
36436737,31268615,NO,NO
36436737,31170400,NO,NO
36436737,31157395,NO,NO
36436737,31142792,NO,NO
36436737,31100434,NO,NO
36436737,31056647,NO,NO
36436737,31051206,NO,NO
36436737,31036762,NO,NO
36436737,31028924,NO,NO
36436737,31028922,NO,NO
36436737,31011853,NO,NO
36436737,30949039,NO,NO
36436737,30852995,NO,NO
36436737,30852994,NO,NO
36436737,30842248,NO,NO
36436737,30834300,NO,NO
36436737,30833582,NO,NO
36436737,30825583,NO,NO
36436737,30807820,NO,NO
36436737,30794869,NO,NO
36436737,30679738,NO,NO
36436737,30658938,NO,YES
36436737,30649548,NO,NO
36436737,30639342,NO,NO
36436737,30624029,NO,NO
36436737,30610911,NO,NO
36436737,30594068,NO,NO
36436737,30500423,NO,NO
36436737,30411904,NO,NO
36436737,30389840,NO,NO
36436737,30300745,NO,NO
36436737,30221467,NO,NO
36436737,30195053,NO,NO
36436737,30077577,NO,NO
36436737,30056560,NO,NO
36436737,30038232,NO,NO
36436737,29959970,NO,NO
36436737,29931116,NO,NO
36436737,27340019,NO,NO
36436737,30041864,NO,NO
36436737,30017395,NO,NO
36436737,29561702,NO,NO
36436737,29366950,NO,NO
36436737,29352154,NO,NO
36436737,28522533,NO,NO
36436737,28094810,NO,NO
36436737,27866893,NO,NO
36436737,27521302,NO,NO
36436737,26946502,NO,NO
36436737,26934715,NO,NO
36436737,26759479,NO,NO
36436737,26348613,NO,NO
36436737,25512496,NO,NO
36436737,25289182,NO,NO
36436737,24607363,NO,NO
36436737,24381271,NO,NO
36436737,24036130,NO,NO
36436737,23142071,NO,NO
36436737,20695655,NO,NO
36436737,18375769,NO,NO
36436737,17499173,NO,NO
36436737,27815729,NO,NO
36436737,25499683,NO,NO
36436737,24341069,NO,NO
36436737,29845003,NO,NO
36436737,29455864,NO,NO
36436737,29396415,NO,NO
36436737,28748572,NO,NO
36436737,28465434,NO,NO
36436737,28393755,NO,NO
36436737,28169323,NO,NO
36436737,27506384,NO,NO
36436737,27272314,NO,NO
36436737,27247125,NO,NO
36436737,27185915,NO,NO
36436737,27170266,NO,NO
36436737,27150109,NO,NO
36436737,27091676,NO,NO
36436737,26892856,NO,NO
36436737,26483621,NO,NO
36436737,29885085,NO,NO
36436737,26200892,NO,NO
36436737,26188122,NO,NO
36436737,25770039,NO,NO
36436737,25759285,NO,NO
36436737,25758671,NO,NO
36436737,23149446,NO,NO
36436737,22982277,NO,NO
36436737,22909094,NO,NO
36436737,29943174,NO,NO
36436737,29518712,NO,NO
36436737,22439896,NO,NO
36436737,22434810,NO,NO
36436737,22257745,NO,NO
36436737,22038344,NO,NO
36436737,21812564,NO,NO
36436737,21723130,NO,NO
36436737,21278194,NO,NO
36436737,21164174,NO,NO
36436737,21036192,NO,NO
36436737,19739909,NO,NO
36436737,19630890,NO,NO
36436737,19048446,NO,NO
36436737,18573266,NO,NO
36436737,18082427,NO,NO
36436737,16023041,NO,NO
36436737,15668098,NO,NO
36436737,29901788,NO,NO
36436737,29891257,NO,NO
36436737,23804962,NO,NO
36436737,23639347,NO,NO
36436737,22563008,NO,NO
36436737,21664277,YES,CONFLICT
36436737,21569855,YES,CONFLICT
36436737,22125232,YES,CONFLICT
36436737,29077925,YES,CONFLICT
36436737,21864459,YES,CONFLICT
36436737,19199417,YES,CONFLICT
36436737,20350187,YES,CONFLICT
36436737,18313858,YES,CONFLICT
